pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA2 Pyramidal,CA1 Recurrent O LM,e,i,164199.62216817323,0.03251,5338.129716687311
CA2 Pyramidal,CA1 O LMR,e,i,51643.53244749384,0.06706,3463.2152859289367
EC LIV VI Deep Multipolar Principal,LEC LIII Complex Pyramidal,e,e,28354.696766759524,0.04652,1319.060493589653
CA2 Pyramidal,CA1 Oriens Bistratified,e,i,28221.857504341024,0.01811,511.097839403616
LEC LIII Complex Pyramidal,EC LIV VI Deep Multipolar Principal,e,e,8112.004762856905,0.02244,182.03338687850896
CA1 Oriens Bistratified,CA1 O LMR,i,i,-59.366465733770994,0.06706,-3.9811151921066825
CA1 Oriens Bistratified,CA1 Recurrent O LM,i,i,-118.9602083584,0.03251,-3.867396373731584
CA1 Recurrent O LM,CA1 O LMR,i,i,-51.932885508504,0.06706,-3.482619302200278
CA1 Recurrent O LM,CA1 Oriens Bistratified,i,i,-33.3172035,0.01811,-0.603374555385
