pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG Granule,CA2 Basket,e,i,520440.6141559855,0.08812,45861.22691942544
DG Granule,DG Mossy,e,e,1548576.2061576212,0.029,44908.709978571016
DG Granule,DG Total Molecular Layer,e,i,601011.3620444787,0.0744,44715.245336109205
DG Granule,DG Hilar Ectopic Granule,e,e,989157.7112523052,0.02539,25114.71428869603
DG Mossy,DG Total Molecular Layer,e,i,48730.418053606576,0.0744,3625.543103188329
DG Mossy,DG Hilar Ectopic Granule,e,e,83487.7625175405,0.02539,2119.754290320353
DG Granule,CA3 Basket CCK+,e,i,17751.839032304833,0.08623,1530.7410797556458
DG Mossy,DG Granule,e,e,21695.054873577752,0.04463,968.2502990077752
DG Total Molecular Layer,DG Hilar Ectopic Granule,i,e,-8514.869900625,0.02539,-216.1925467768688
DG Total Molecular Layer,DG Granule,i,e,-4088.470679875126,0.04463,-182.4684464428269
DG Total Molecular Layer,DG Mossy,i,e,-5027.841134178721,0.029,-145.80739289118293
DG Total Molecular Layer,CA1 Neurogliaform Projecting,i,i,-2118.724266658365,0.02287,-48.455223978476816
DG Hilar Ectopic Granule,DG Mossy,e,e,55.65027212412001,0.029,1.6138578915994803
CA1 Neurogliaform Projecting,DG Granule,i,e,-34.782278294016,0.04463,-1.5523330802619344
DG Hilar Ectopic Granule,DG Total Molecular Layer,e,i,20.139190526124004,0.0744,1.4983557751436258
CA1 Neurogliaform Projecting,DG Total Molecular Layer,i,i,-19.6696727578368,0.0744,-1.4634236531830578
CA1 Neurogliaform Projecting,DG Hilar Ectopic Granule,i,e,-39.55498971840001,0.02539,-1.0043011889501765
DG Hilar Ectopic Granule,CA3 Basket CCK+,e,i,0.98643748647528,0.08623,0.0850605044587634
