pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
EC LIII Pyramidal Stellate,CA1 Quadrilaminar,e,i,97390.96664391652,0.07486,7290.687762963591
EC LIII V Bipolar Pyramidal,EC LIII Pyramidal Stellate,e,e,12926.813869521824,0.04652,601.3553812101552
EC LIII V Bipolar Pyramidal,EC LV Deep Pyramidal,e,e,19455.032798347056,0.02214,430.7344261554038
EC LV Deep Pyramidal,EC LIII V Bipolar Pyramidal,e,e,9157.388271811416,0.0197,180.4005489546849
CA1 Bistratified,CA1 Quadrilaminar,i,i,-2104.116245545348,0.07486,-157.51414214152476
CA1 Bistratified,CA1 OR LM,i,i,-1115.3461404132,0.11974,-133.5515468530766
CA1 Bistratified,CA1 Radiatum,i,i,-840.2772502139903,0.10737,-90.22056835547612
EC LIII Pyramidal Stellate,EC LIII V Bipolar Pyramidal,e,e,3262.054661180621,0.0197,64.26247682525823
CA1 OR LM,CA1 Quadrilaminar,i,i,-289.13334112060204,0.07486,-21.644521916288262
CA1 Radiatum,CA1 OR LM,i,i,-52.519852806651365,0.11974,-6.288727175068434
CA1 Radiatum,CA1 Quadrilaminar,i,i,-72.72673863334201,0.07486,-5.444323654091982
CA1 Radiatum,CA1 Bistratified,i,i,-53.877642485184005,0.08922,-4.806963262528116
CA1 Quadrilaminar,CA1 OR LM,i,i,-6.7144945982562,0.11974,-0.8039935831951974
CA1 Quadrilaminar,CA1 Bistratified,i,i,-8.676854555148001,0.08922,-0.7741489634103046
CA1 Quadrilaminar,CA1 Radiatum,i,i,-6.075828665424001,0.10737,-0.652361723806575
