pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA2 Pyramidal,CA1 SO SO,e,i,81285.05246100693,0.16655,13538.025487380704
CA2 Pyramidal,CA1 Ivy,e,i,69231.03908010862,0.0438,3032.319511708757
CA2 Pyramidal,CA2 SP SR,e,i,63637.56046373856,0.02724,1733.4871470322385
CA2 Pyramidal,DG HIPP,e,i,107625.6998132426,0.01581,1701.5623140473656
DG Semilunar Granule,DG HIPP,e,i,100437.40385577992,0.01581,1587.9153549598807
CA2 Pyramidal,CA1 Radiatum Giant,e,e,143751.09639017002,0.00183,263.0645063940111
CA1 Radiatum Giant,CA1 SO SO,e,i,1478.02807798512,0.16655,246.16557638842173
CA1 Ivy,CA1 SO SO,i,i,-777.7708166619722,0.16655,-129.53772951505147
CA1 Radiatum Giant,CA1 Ivy,e,i,1110.7505226554883,0.0438,48.65087289231039
DG HIPP,DG Semilunar Granule,i,e,-4421.758812885792,0.00401,-17.731252839672024
CA1 SO SO,CA1 Ivy,i,i,-319.1981692914,0.0438,-13.98087981496332
CA2 SP SR,CA2 Pyramidal,i,e,-130.07752401150006,0.01469,-1.910838827728936
CA1 Ivy,CA1 Radiatum Giant,i,e,-410.039748942912,0.00183,-0.750372740565529
