pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA1 Schaffer Collateral Associated,CA1 Ivy,i,i,-1655.6542214811004,0.0438,-72.5176549008722
CA1 Ivy,CA1 O LMR,i,i,-687.9370462721065,0.06706,-46.13305832300746
CA1 Schaffer Collateral Associated,CA1 O LMR,i,i,-313.7036508123294,0.06706,-21.03696682347481
CA1 Ivy,CA1 Recurrent O LM,i,i,-633.4016482079999,0.03251,-20.591887583242077
CA1 O LMR,CA1 Schaffer Collateral Associated,i,i,-325.59661660490843,0.04399,-14.322995164449924
CA1 Schaffer Collateral Associated,CA1 Recurrent O LM,i,i,-397.8327575348746,0.03251,-12.933542947458774
CA1 Ivy,CA1 Schaffer Collateral Associated,i,i,-266.4776559324284,0.04399,-11.722352084467524
CA1 O LMR,CA1 Ivy,i,i,-90.9927726349824,0.0438,-3.985483441412229
CA1 Recurrent O LM,CA1 O LMR,i,i,-51.932885508504,0.06706,-3.482619302200278
CA1 Recurrent O LM,CA1 Schaffer Collateral Associated,i,i,-66.60970519549802,0.04399,-2.930160931549958
CA1 Recurrent O LM,CA1 Ivy,i,i,-37.870761198186,0.0438,-1.6587393404805468
