pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA2 Wide Arbor Basket,CA3 Basket,i,i,-7573.167658355239,0.1496,-1132.945881689944
CA2 Wide Arbor Basket,CA1 Basket,i,i,-5832.53777003356,0.1666,-971.7007924875912
CA1 Back Projection,CA3 Basket,i,i,-5943.780451808782,0.1496,-889.189555590594
CA2 Wide Arbor Basket,CA1 Axo Axonic,i,i,-5560.169291760153,0.07601,-422.6284678666892
CA1 Back Projection,CA1 Basket,i,i,-2223.03625021504,0.1666,-370.3578392858256
CA2 Wide Arbor Basket,CA1 Ivy,i,i,-7998.132405850585,0.0438,-350.3181993762556
CA1 Basket,CA1 Axo Axonic,i,i,-3684.105878699405,0.07601,-280.0288878399418
CA1 Schaffer Collateral Associated,CA1 Basket,i,i,-1346.1241772467708,0.1666,-224.264287929312
CA1 Basket,CA1 Ivy,i,i,-4705.464689871405,0.0438,-206.0993534163676
CA1 Ivy,CA1 Basket,i,i,-1159.1158767621123,0.1666,-193.1087050685679
CA1 Back Projection,CA1 Axo Axonic,i,i,-2183.276690346115,0.07601,-165.9508612332082
CA1 Ivy,CA1 Back Projection,i,i,-741.4329953608201,0.19378,-143.67488584101972
CA1 Schaffer Collateral Associated,CA1 Back Projection,i,i,-569.6104131673967,0.19378,-110.37910586357812
CA1 Back Projection,CA1 Ivy,i,i,-2138.6762283980806,0.0438,-93.67401880383592
CA1 Schaffer Collateral Associated,CA1 Axo Axonic,i,i,-1203.580807272546,0.07601,-91.48417716078622
CA1 Ivy,CA1 Axo Axonic,i,i,-988.823342475332,0.07601,-75.16046226154998
CA1 Schaffer Collateral Associated,CA1 Ivy,i,i,-1655.6542214811004,0.0438,-72.5176549008722
CA1 Back Projection,CA1 Schaffer Collateral Associated,i,i,-902.1654360778016,0.04399,-39.686257533062495
CA1 Back Projection,CA2 Wide Arbor Basket,i,i,-340.05904038797587,0.06561,-22.3112736398551
CA1 Ivy,CA2 Wide Arbor Basket,i,i,-198.3027301680509,0.06561,-13.010642126325823
CA1 Schaffer Collateral Associated,CA2 Wide Arbor Basket,i,i,-198.1683332450986,0.06561,-13.00182434421092
CA1 Ivy,CA1 Schaffer Collateral Associated,i,i,-266.4776559324284,0.04399,-11.722352084467524
