pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA3c Pyramidal,CA1 Oriens Alveus,e,i,1743888.3093962292,0.1554,271000.24328017404
CA3 Pyramidal,CA1 SO SO,e,i,1082066.7210632826,0.16655,180218.2123930897
CA3c Pyramidal,CA1 Schaffer Collateral Associated,e,i,2069167.2803931967,0.04399,91022.66866449673
CA3c Pyramidal,CA1 SO SO,e,i,154057.07098671794,0.16655,25658.205172837872
CA3 Pyramidal,CA1 Oriens Alveus,e,i,124756.44190094133,0.1554,19387.15107140628
EC LIII Pyramidal Stellate,CA1 Oriens Alveus,e,i,102657.25494013868,0.1554,15952.937417697553
CA3 Pyramidal,CA3c Pyramidal,e,e,395693.84575883904,0.01712,6774.278639391325
CA3 Pyramidal,CA1 Schaffer Collateral Associated,e,i,127083.09531676587,0.04399,5590.385362984531
EC LIII Pyramidal Stellate,CA1 Schaffer Collateral Associated,e,i,70048.71399103873,0.04399,3081.442928465794
EC LIV VI Deep Multipolar Principal,EC LIII Pyramidal Stellate,e,e,21744.318866860627,0.04652,1011.5457136863564
CA3c Pyramidal,CA3 Pyramidal,e,e,31089.11555366892,0.0123,382.3961213101277
CA1 Schaffer Collateral Associated,CA1 Oriens Alveus,i,i,-1333.8261248573815,0.1554,-207.27657980283715
CA1 Schaffer Collateral Associated,CA1 SO SO,i,i,-405.87409137115856,0.16655,-67.59832991786647
CA1 Oriens Alveus,CA1 SO SO,i,i,-401.628562772976,0.16655,-66.89123712983915
CA1 SO SO,CA1 Oriens Alveus,i,i,-258.66974503532794,0.1554,-40.19727837848996
