pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA3 Basket CCK+,CA3 Axo Axonic,i,i,-14340.514846752882,0.11589,-1661.9222655901915
CA1 Back Projection,CA3 Lucidum ORAX,i,i,-1778.637586347508,0.31002,-551.4132245194545
CA1 Back Projection,CA3 Axo Axonic,i,i,-3560.2277174100004,0.11589,-412.59479017064496
CA1 Back Projection,CA3 Basket CCK+,i,i,-2744.569457272499,0.08623,-236.6642243006076
CA1 Back Projection,CA1 Bistratified,i,i,-1744.7238414777598,0.08922,-155.6642611366457
CA1 Bistratified,CA1 Back Projection,i,i,-652.3295734031999,0.19378,-126.40842473407209
CA1 Bistratified,CA1 Radiatum,i,i,-840.2772502139903,0.10737,-90.22056835547612
CA1 Back Projection,DG Mossy,i,e,-2390.6632042285205,0.029,-69.3292329226271
CA1 Back Projection,CA1 Radiatum,i,i,-487.5228731646,0.10737,-52.3453308916831
CA1 Radiatum,CA1 Bistratified,i,i,-53.877642485184005,0.08922,-4.806963262528116
CA3 Lucidum ORAX,CA3 Axo Axonic,i,i,-4.95162840942,0.11589,-0.5738442163676838
CA3 Lucidum ORAX,CA3 Basket CCK+,i,i,-4.0369942474336,0.08623,-0.3481100139561993
