pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
EC LIII V Bipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,e,e,5213.52951090244,0.09565,498.6740977178184
MEC LIII Bipolar Complex Pyramidal,EC LIII V Bipolar Pyramidal,e,e,1699.4601532496,0.0197,33.47936501901712
CA1 Neurogliaform,CA1 Axo Axonic,i,i,-416.79829476322806,0.07601,-31.680838384952963
CA1 SO SO,CA1 O LMR,i,i,-433.553327539605,0.06706,-29.074086144805907
CA1 OR LM,CA1 Neurogliaform,i,i,-354.92864844833275,0.07081,-25.13249759662644
CA1 O LMR,CA1 OR LM,i,i,-197.0286903268992,0.11974,-23.59221537974291
CA1 SO SO,CA1 OR LM,i,i,-189.26370370257845,0.11974,-22.66243588134674
CA1 O LMR,CA1 Axo Axonic,i,i,-269.2380959750273,0.07601,-20.464787675061825
CA1 SO SO,CA1 Axo Axonic,i,i,-243.0433344801472,0.07601,-18.47372385383599
CA1 O LMR,CA1 Neurogliaform,i,i,-227.7021322465344,0.07081,-16.1235879843771
CA1 OR LM,CA1 Axo Axonic,i,i,-200.45041506986408,0.07601,-15.236236049460368
