pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA1 Pyramidal,CA1 Basket,e,i,42387.40709254397,0.1666,7061.742021617824
CA1 Pyramidal,CA1 Basket CCK+,e,i,52663.470341011525,0.12483,6573.981002668468
CA1 Pyramidal,MEC LV Multipolar Pyramidal,e,e,173947.05585647878,0.02214,3851.18781666244
CA1 Basket CCK+,CA1 Basket,i,i,-8008.7869568620035,0.1666,-1334.2639070132095
CA2 Wide Arbor Basket,CA1 Basket,i,i,-5832.53777003356,0.1666,-971.7007924875912
CA2 Wide Arbor Basket,CA1 Basket CCK+,i,i,-6731.2694816324665,0.12483,-840.2643693921808
CA1 Basket,CA1 Basket CCK+,i,i,-4105.228870604433,0.12483,-512.4557199175513
CA1 Basket CCK+,CA1 Pyramidal,i,e,-10764.81158251388,0.02905,-312.7177764720282
CA2 Wide Arbor Basket,CA1 Pyramidal,i,e,-6788.104812510384,0.02905,-197.19444480342665
CA1 Basket,CA1 Pyramidal,i,e,-6486.070905251756,0.02905,-188.4203597975635
CA1 Neurogliaform,CA1 Basket CCK+,i,i,-486.2117791790688,0.12483,-60.693816394923154
CA1 Neurogliaform,CA1 Basket,i,i,-338.97546169088,0.1666,-56.4733119177006
CA1 Neurogliaform,CA1 Pyramidal,i,e,-498.7138342441787,0.02905,-14.48763688479339
