pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG Mossy,DG Basket,e,i,44703.7167300156,0.09135,4083.684523286925
DG Mossy,DG MOLAX,e,i,54425.65314522149,0.0744,4049.2685940044794
DG Mossy,DG Total Molecular Layer,e,i,48730.418053606576,0.0744,3625.543103188329
DG Total Molecular Layer,DG MOLAX,i,i,-7452.51861466125,0.0744,-554.467384930797
DG Basket,DG Total Molecular Layer,i,i,-5419.586277233849,0.0744,-403.2172190261984
DG Basket,DG MOLAX,i,i,-4992.880041672147,0.0744,-371.4702751004077
DG Total Molecular Layer,DG Basket,i,i,-3556.4824762152066,0.09135,-324.88467420225913
DG MOLAX,DG Basket,i,i,-2118.6820999485644,0.09135,-193.54160983030133
DG MOLAX,DG Total Molecular Layer,i,i,-1995.5460354155348,0.0744,-148.4686250349158
DG Total Molecular Layer,DG Mossy,i,e,-5027.841134178721,0.029,-145.80739289118293
CA3 O LM,CA3 Lucidum ORAX,i,i,-415.6658528671153,0.31002,-128.8647277058631
CA3 Lucidum ORAX,CA3 O LM,i,i,-3.235891743096,0.17804,-0.5761181659408119
