pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
EC LIV VI Deep Multipolar Principal,MEC LV Multipolar Pyramidal,e,e,53038.934253213774,0.02214,1174.282004366153
MEC LV Pyramidal,MEC LV Multipolar Pyramidal,e,e,29919.956640000004,0.02214,662.4278400096001
MEC LV Pyramidal,DG Semilunar Granule,e,e,131030.96781092668,0.00401,525.4341809218159
EC LIV VI Deep Multipolar Principal,MEC LV Pyramidal,e,e,21638.54083528847,0.02214,479.0772940932867
MEC LV Pyramidal,DG MOPP,e,i,9379.302062826724,0.01389,130.2785056526632
MEC LV Pyramidal,EC LIV VI Deep Multipolar Principal,e,e,5368.495239146259,0.02244,120.46903316644207
MEC LV Multipolar Pyramidal,MEC LV Pyramidal,e,e,5226.221826025198,0.02214,115.70855122819788
MEC LV Multipolar Pyramidal,EC LIV VI Deep Multipolar Principal,e,e,1534.7480454310476,0.02244,34.43974613947271
CA3 Trilaminar,CA1 Oriens Bistratified,i,i,-342.3900395412,0.01811,-6.2006836160911325
DG MOPP,DG Semilunar Granule,i,e,-130.09502718,0.00401,-0.5216810589918
