pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA1 Pyramidal,CA1 SO SO,e,i,92632.40646962484,0.16655,15427.927297516017
CA1 Pyramidal,CA1 Back Projection,e,i,70681.71990070409,0.19378,13696.70368235844
CA1 Pyramidal,CA1 Horizontal Axo Axonic,e,i,34139.20669267882,0.33807,11541.441606593928
CA1 Pyramidal,MEC LV Multipolar Pyramidal,e,e,173947.05585647878,0.02214,3851.18781666244
CA2 Wide Arbor Basket,CA1 Pyramidal,i,e,-6788.104812510384,0.02905,-197.19444480342665
CA1 Back Projection,CA1 Horizontal Axo Axonic,i,i,-479.01983748075605,0.33807,-161.94223645711918
CA1 Back Projection,CA1 SO SO,i,i,-799.1812457679961,0.16655,-133.10363648265974
CA1 Schaffer Collateral Associated,CA1 Back Projection,i,i,-569.6104131673967,0.19378,-110.37910586357812
CA1 SO SO,CA1 Horizontal Axo Axonic,i,i,-264.0743927478721,0.33807,-89.27562995627311
CA1 Back Projection,CA1 Pyramidal,i,e,-2752.07743762848,0.02905,-79.94784956310734
CA1 Schaffer Collateral Associated,CA1 SO SO,i,i,-405.87409137115856,0.16655,-67.59832991786647
CA1 Schaffer Collateral Associated,CA1 Horizontal Axo Axonic,i,i,-160.18571757264016,0.33807,-54.15398553978245
CA1 Schaffer Collateral Associated,CA1 Pyramidal,i,e,-1695.9048277761597,0.02905,-49.26603524689744
CA1 SO SO,CA1 Back Projection,i,i,-243.4875178629855,0.19378,-47.18301121148933
CA1 Back Projection,CA1 Schaffer Collateral Associated,i,i,-902.1654360778016,0.04399,-39.686257533062495
CA1 Back Projection,CA2 Wide Arbor Basket,i,i,-340.05904038797587,0.06561,-22.3112736398551
CA1 Schaffer Collateral Associated,CA2 Wide Arbor Basket,i,i,-198.1683332450986,0.06561,-13.00182434421092
CA1 SO SO,CA1 Pyramidal,i,e,-346.568758800336,0.02905,-10.06782244314976
CA1 Horizontal Axo Axonic,CA1 Pyramidal,i,e,-112.54813712407984,0.02905,-3.269523383454519
