pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA1 O LMR,CA1 Quadrilaminar,i,i,-478.66074696296647,0.07486,-35.832543517647665
CA3 Spiny Lucidum,DG Basket,i,i,-298.0205343531258,0.09135,-27.224175813158045
CA1 O LMR,CA1 Axo Axonic,i,i,-269.2380959750273,0.07601,-20.464787675061825
CA1 O LMR,CA1 Neurogliaform Projecting,i,i,-235.2231048920558,0.02287,-5.379552408881317
CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,i,i,-173.40685220571874,0.02287,-3.965814709944788
CA1 Neurogliaform Projecting,CA1 Quadrilaminar,i,i,-40.961044988064,0.07486,-3.0663438278064707
CA1 Neurogliaform Projecting,CA1 Axo Axonic,i,i,-31.38250077331201,0.07601,-2.3853838837794457
CA1 Neurogliaform Projecting,DG Basket,i,i,-19.070699519136,0.09135,-1.7421084010730732
CA1 Quadrilaminar,CA1 Axo Axonic,i,i,-9.5034092972544,0.07601,-0.7223541406843069
CA1 Quadrilaminar,CA1 O LMR,i,i,-2.1424735378872,0.06706,-0.1436742754507156
CA1 Quadrilaminar,CA1 Neurogliaform Projecting,i,i,-3.8072340878616,0.02287,-0.0870714435893947
