pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA1 Pyramidal,LEC LVI Multipolar Pyramidal,e,e,264688.4365162759,0.03993,10569.009270094895
CA1 Pyramidal,CA1 OR LM,e,i,76314.98468901217,0.11974,9137.956266662315
CA1 Pyramidal,CA1 Basket,e,i,42387.40709254397,0.1666,7061.742021617824
CA1 Pyramidal,EC LIII V Bipolar Pyramidal,e,e,287297.4243556144,0.0197,5659.759259805604
EC LIII V Bipolar Pyramidal,LEC LVI Multipolar Pyramidal,e,e,17261.04368661504,0.03993,689.2334744065386
EC LIII V Bipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,e,e,5213.52951090244,0.09565,498.6740977178184
CA1 Basket,CA1 OR LM,i,i,-2633.5779957736863,0.11974,-315.3446292139412
CA1 Schaffer Collateral Associated,CA1 Basket,i,i,-1346.1241772467708,0.1666,-224.264287929312
CA1 Basket,CA1 Pyramidal,i,e,-6486.070905251756,0.02905,-188.4203597975635
LEC LVI Multipolar Pyramidal,EC LIII V Bipolar Pyramidal,e,e,5129.4303605532,0.0197,101.04977810289805
CA1 Schaffer Collateral Associated,CA1 OR LM,i,i,-756.7131035841239,0.11974,-90.608827023163
CA1 Schaffer Collateral Associated,CA1 Pyramidal,i,e,-1695.9048277761597,0.02905,-49.26603524689744
MEC LIII Bipolar Complex Pyramidal,EC LIII V Bipolar Pyramidal,e,e,1699.4601532496,0.0197,33.47936501901712
CA1 OR LM,CA1 Basket,i,i,-146.4235324463808,0.1666,-24.39416050556704
CA1 OR LM,CA1 Pyramidal,i,e,-228.00957513062403,0.02905,-6.623678157544628
CA1 OR LM,CA1 Schaffer Collateral Associated,i,i,-134.84868281670717,0.04399,-5.931993557106948
