pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG Granule,DG AIPRIM,e,i,896639.1990388761,0.2501,224249.4636796229
DG Granule,DG HICAP,e,i,418316.0675269433,0.21477,89841.7418227616
DG Granule,CA3 Basket,e,i,72274.03331240187,0.1496,10812.19538353532
DG AIPRIM,DG HICAP,i,i,-9756.98468499447,0.21477,-2095.507600796262
CA1 Basket CCK+,CA1 Basket,i,i,-8008.7869568620035,0.1666,-1334.2639070132095
CA1 Basket,CA1 Basket CCK+,i,i,-4105.228870604433,0.12483,-512.4557199175513
DG AIPRIM,DG Granule,i,e,-5198.70757223961,0.04463,-232.01831894905385
DG HICAP,DG AIPRIM,i,i,-70.6828635016812,0.2501,-17.677784161770468
DG HICAP,DG Granule,i,e,-125.960144472,0.04463,-5.621601247785361
CA1 Perforant Path Associated QuadD,CA1 Basket,i,i,-29.978863292928004,0.1666,-4.994478624601806
CA1 Perforant Path Associated QuadD,CA1 Basket CCK+,i,i,-39.8704604210748,0.12483,-4.977029574362767
