pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
MEC LV Pyramidal,DG Basket,e,i,79119.6494328399,0.09135,7227.579975689925
MEC LV Pyramidal,DG MOLAX,e,i,79960.38580846952,0.0744,5949.052704150132
MEC LV Pyramidal,DG Hilar Ectopic Granule,e,e,144531.22194816626,0.02539,3669.647725263941
MEC LV Pyramidal,MEC LIII Superficial Trilayered Interneuron,e,i,7168.654250334719,0.07016,502.9527822034839
DG Basket,DG MOLAX,i,i,-4992.880041672147,0.0744,-371.4702751004077
DG MOLAX,DG Basket,i,i,-2118.6820999485644,0.09135,-193.54160983030133
EC LV Deep Pyramidal,MEC LV Pyramidal,e,e,7786.634975401413,0.02214,172.39609835538727
MEC LV Pyramidal,EC LV Deep Pyramidal,e,e,6085.033809146879,0.02214,134.7226485345119
DG MOLAX,DG Hilar Ectopic Granule,i,e,-3355.3768550094,0.02539,-85.19301834868867
MEC LIII Superficial Trilayered Interneuron,MEC LV Pyramidal,i,e,-1975.057523452104,0.02214,-43.72777356922958
MEC LIII Superficial Trilayered Interneuron,EC LV Deep Pyramidal,i,e,-632.1073700203417,0.02214,-13.994857172250365
DG Hilar Ectopic Granule,DG MOLAX,e,i,21.070177923307504,0.0744,1.567621237494078
DG Hilar Ectopic Granule,DG Basket,e,i,13.97108332568,0.09135,1.276258461800868
