pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA1 Pyramidal,LEC LVI Multipolar Pyramidal,e,e,264688.4365162759,0.03993,10569.009270094895
CA1 Pyramidal,CA1 Axo Axonic,e,i,50979.62872911275,0.07601,3874.96157969986
CA1 Pyramidal,MEC LV Multipolar Pyramidal,e,e,173947.05585647878,0.02214,3851.18781666244
CA1 Pyramidal,MEC LV Pyramidal,e,e,154668.50466462746,0.02214,3424.360693274852
MEC LV Pyramidal,MEC LV Multipolar Pyramidal,e,e,29919.956640000004,0.02214,662.4278400096001
CA2 Wide Arbor Basket,CA1 Axo Axonic,i,i,-5560.169291760153,0.07601,-422.6284678666892
CA2 Wide Arbor Basket,CA1 Pyramidal,i,e,-6788.104812510384,0.02905,-197.19444480342665
MEC LV Multipolar Pyramidal,MEC LV Pyramidal,e,e,5226.221826025198,0.02214,115.70855122819788
CA1 Schaffer Collateral Associated,CA1 Axo Axonic,i,i,-1203.580807272546,0.07601,-91.48417716078622
CA1 Schaffer Collateral Associated,CA1 Pyramidal,i,e,-1695.9048277761597,0.02905,-49.26603524689744
CA1 Schaffer Collateral Associated,CA2 Wide Arbor Basket,i,i,-198.1683332450986,0.06561,-13.00182434421092
CA1 Axo Axonic,CA1 Pyramidal,i,e,-223.86477262732652,0.02905,-6.503271644823836
