pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA3 Pyramidal,CA2 Pyramidal,e,e,848693.1287684537,0.01469,12467.302061608583
CA3 Pyramidal,CA3 Horizontal Axo Axonic,e,i,101282.4280301904,0.07827,7927.375641923004
CA2 Pyramidal,CA1 Ivy,e,i,69231.03908010862,0.0438,3032.319511708757
CA3 Pyramidal,CA1 Ivy,e,i,69076.63514988721,0.0438,3025.55661956506
CA2 Pyramidal,CA3 Horizontal Axo Axonic,e,i,15807.104667428172,0.07827,1237.2220823196033
CA2 Pyramidal,CA3 Pyramidal,e,e,96622.6483330502,0.0123,1188.4585744965177
CA3 Pyramidal,CA1 Radiatum Giant,e,e,165936.03817408613,0.00183,303.66294985857763
CA2 Pyramidal,CA1 Radiatum Giant,e,e,143751.09639017002,0.00183,263.0645063940111
CA2 Pyramidal,CA3 Spiny Lucidum,e,i,4192.342639914439,0.03588,150.42125392013008
CA1 Radiatum Giant,CA1 Ivy,e,i,1110.7505226554883,0.0438,48.65087289231039
CA3 Horizontal Axo Axonic,CA3 Pyramidal,i,e,-363.5447053416256,0.0123,-4.471599875701995
CA3 Spiny Lucidum,CA3 Pyramidal,i,e,-244.51697829333048,0.0123,-3.007558833007965
CA3 Spiny Lucidum,DG Neurogliaform,i,i,-139.73308553853784,0.01186,-1.657234394487059
CA1 Ivy,CA1 Radiatum Giant,i,e,-410.039748942912,0.00183,-0.750372740565529
