pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA2 Pyramidal,CA1 O LMR,e,i,51643.53244749384,0.06706,3463.2152859289367
CA2 Pyramidal,CA3 O LM,e,i,19424.195603172528,0.17804,3458.283785188837
CA2 Pyramidal,CA1 O LM,e,i,70443.3946383042,0.04818,3393.9627536734965
CA2 Pyramidal,CA3 Horizontal Axo Axonic,e,i,15807.104667428172,0.07827,1237.2220823196033
CA2 Pyramidal,CA1 Radiatum Giant,e,e,143751.09639017002,0.00183,263.0645063940111
CA3 O LM,CA3 Horizontal Axo Axonic,i,i,-779.1892652751199,0.07827,-60.98714379308363
CA1 Radiatum Giant,CA1 O LMR,e,i,846.0242332026314,0.06706,56.73438507856846
CA1 Radiatum Giant,CA1 O LM,e,i,990.0511658999995,0.04818,47.70066517306199
CA1 O LMR,CA1 Radiatum Giant,i,e,-550.7607959531999,0.00183,-1.007892256594356
CA1 O LM,CA1 Radiatum Giant,i,e,-361.24886881422,0.00183,-0.6610854299300226
