pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA3c Pyramidal,CA1 Bistratified,e,i,2179251.9896411938,0.08922,194432.8625157873
CA3c Pyramidal,CA2 Pyramidal,e,e,1662664.1129644967,0.01469,24424.535819448454
CA2 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,67056.41054810608,0.12381,8302.254189961015
CA2 Pyramidal,CA3 Axo Axonic,e,i,67833.28376638966,0.11589,7861.199255686899
CA2 Pyramidal,CA1 Bistratified,e,i,75855.14627028363,0.08922,6767.796150234705
CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,19935.28605240792,0.12381,2468.187766148625
CA3c Pyramidal,CA3 Axo Axonic,e,i,19320.7649099472,0.11589,2239.083445413781
CA2 Pyramidal,CA3c Pyramidal,e,e,129221.16909989643,0.01712,2212.266414990227
CA2 Pyramidal,DG HIPP,e,i,107625.6998132426,0.01581,1701.5623140473656
CA2 Pyramidal,CA3 LMR Targeting,e,i,5902.116751303301,0.06811,401.9931719312679
CA3c Pyramidal,DG HIPP,e,i,20095.79671391292,0.01581,317.71454604696333
CA3c Pyramidal,CA3 LMR Targeting,e,i,4152.834730963475,0.06811,282.84957352592227
CA3 LMR Targeting,CA3 Axo Axonic,i,i,-2438.593872624,0.11589,-282.6086438983953
CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,i,i,-377.582895024192,0.12381,-46.74853823294521
CA3 Mossy Fiber Associated ORDEN,CA3 Axo Axonic,i,i,-87.086706525,0.11589,-10.09247841918225
CA3 LMR Targeting,CA3c Pyramidal,i,e,-440.6883700128,0.01712,-7.544584894619136
CA3 Mossy Fiber Associated ORDEN,CA3c Pyramidal,i,e,-149.23378355508004,0.01712,-2.55488237446297
CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,i,i,-32.58919175232,0.06811,-2.2196498502505158
CA3 Axo Axonic,CA3c Pyramidal,i,e,-36.819662761444086,0.01712,-0.6303526264759227
CA3 Mossy Fiber Associated ORDEN,DG HIPP,i,i,-20.100070601856,0.01581,-0.3177821162153434
