pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
EC LI II Pyramidal Fan,MEC LII Oblique Pyramidal,e,e,24009.682691374383,0.09989,2398.327204041387
EC LI II Pyramidal Fan,MEC LV Pyramidal,e,e,31115.863137146,0.02214,688.9052098564124
MEC LV Pyramidal,MEC LV Multipolar Pyramidal,e,e,29919.956640000004,0.02214,662.4278400096001
EC LI II Pyramidal Fan,DG Semilunar Granule,e,e,144865.26716751014,0.00401,580.9097213417157
MEC LV Pyramidal,DG Semilunar Granule,e,e,131030.96781092668,0.00401,525.4341809218159
EC LI II Pyramidal Fan,DG Neurogliaform,e,i,42935.29752295023,0.01186,509.2126286221898
EC LI II Pyramidal Fan,EC LV Deep Pyramidal,e,e,19250.900103626096,0.02214,426.2149282942818
MEC LV Pyramidal,MEC LII Oblique Pyramidal,e,e,3886.06082756892,0.09989,388.1786160658594
EC LV Deep Pyramidal,MEC LV Pyramidal,e,e,7786.634975401413,0.02214,172.39609835538727
EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,e,e,7634.568455971183,0.02214,169.029345615202
MEC LV Pyramidal,EC LV Deep Pyramidal,e,e,6085.033809146879,0.02214,134.7226485345119
MEC LV Multipolar Pyramidal,MEC LV Pyramidal,e,e,5226.221826025198,0.02214,115.70855122819788
MEC LII Oblique Pyramidal,MEC LV Multipolar Pyramidal,e,e,2899.5512789880004,0.02214,64.19606531679433
MEC LV Pyramidal,DG Neurogliaform,e,i,3673.097114845407,0.01186,43.56293178206653
MEC LV Multipolar Pyramidal,EC LV Deep Pyramidal,e,e,1279.9790553164162,0.02214,28.33873628470545
MEC LV Pyramidal,EC LI II Pyramidal Fan,e,e,883.8135547738068,0.01976,17.464155842330424
DG Neurogliaform,DG Semilunar Granule,i,e,-52.294380089592,0.00401,-0.2097004641592638
