seed,length_edges__boltzmann_path_sampling,length_edges__branch_and_bound,length_edges__greedy_tree_path,length_edges__maximum_spanning_tree,length_edges__monte_carlo_tree_search,length_edges__weighted_random_walk_ensemble,n_nodes_visited__boltzmann_path_sampling,n_nodes_visited__branch_and_bound,n_nodes_visited__greedy_tree_path,n_nodes_visited__maximum_spanning_tree,n_nodes_visited__monte_carlo_tree_search,n_nodes_visited__weighted_random_walk_ensemble,summed_weight__boltzmann_path_sampling,summed_weight__branch_and_bound,summed_weight__greedy_tree_path,summed_weight__maximum_spanning_tree,summed_weight__monte_carlo_tree_search,summed_weight__weighted_random_walk_ensemble,terminus__boltzmann_path_sampling,terminus__branch_and_bound,terminus__greedy_tree_path,terminus__maximum_spanning_tree,terminus__monte_carlo_tree_search,terminus__weighted_random_walk_ensemble,transition_weight_sum__boltzmann_path_sampling,transition_weight_sum__branch_and_bound,transition_weight_sum__greedy_tree_path,transition_weight_sum__maximum_spanning_tree,transition_weight_sum__monte_carlo_tree_search,transition_weight_sum__weighted_random_walk_ensemble
EC LII III Pyramidal Tripolar,25,24,15,6,27,25,26,25,16,7,28,26,229997.88352585846,232244.06169885187,159915.302446034,114610.21586127703,231791.28790411766,228194.76161051332,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,229997.88352585846,232244.06169885187,159915.302446034,114610.21586127703,231791.28790411766,228194.76161051332
EC LIII Pyramidal,24,25,16,6,25,18,25,26,17,7,26,19,233250.78349071162,138395.67995068483,70863.65275640332,110393.82015762746,229078.09123386987,224567.34348365333,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,DG Hilar Ectopic Granule,233250.78349071162,138395.67995068483,70863.65275640332,110393.82015762746,229078.09123386987,224567.34348365333
EC LIII Pyramidal Stellate,25,24,16,6,25,19,26,25,17,7,26,20,230083.4855942047,142184.53192520654,75217.68818495833,110393.82015762746,233842.27829407708,217629.9882142983,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,230083.4855942047,142184.53192520654,75217.68818495833,110393.82015762746,233842.27829407708,217629.9882142983
EC LIII Stellate,22,24,22,6,25,25,23,25,23,7,26,26,230408.71261575096,219353.1364135805,194837.7148272929,110393.82015762746,229471.93468122312,223904.27462583053,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,230408.71261575096,219353.1364135805,194837.7148272929,110393.82015762746,229471.93468122312,223904.27462583053
EC LIII V Bipolar Pyramidal,23,26,16,6,23,24,24,27,17,7,24,25,230822.15640101416,145060.1756774032,108993.79474688401,110393.82015762746,230222.54605500627,222298.63928917292,CA1 Radiatum Giant,CA3 Granule,CA3 Granule,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,230822.15640101416,145060.1756774032,108993.79474688401,110393.82015762746,230222.54605500627,222298.63928917292
EC LIV VI Deep Multipolar Principal,25,26,17,7,28,22,26,27,18,8,29,23,230578.2055241371,136786.64471042476,69254.61751614326,58407.13279806113,227315.06532144782,227804.6737021582,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA1 Radiatum Giant,230578.2055241371,136786.64471042476,69254.61751614326,58407.13279806113,227315.06532144782,227804.6737021582
EC LV Deep Pyramidal,23,26,17,7,26,22,24,27,18,8,27,23,229314.4802525722,136484.19937138673,68952.1721771052,58407.13279806113,226832.02108689965,219952.70092312136,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA1 Radiatum Giant,229314.4802525722,136484.19937138673,68952.1721771052,58407.13279806113,226832.02108689965,219952.70092312136
LEC LIII Complex Pyramidal,29,20,14,6,28,21,30,21,15,7,29,22,229381.56216298672,220736.75029636052,155794.07654363938,110638.43602772972,224957.96827005662,226848.880794946,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,229381.56216298672,220736.75029636052,155794.07654363938,110638.43602772972,224957.96827005662,226848.880794946
LEC LIII Multipolar Principal,25,26,17,6,24,25,26,27,18,7,25,26,231991.45187484106,143743.26083996645,76211.23364568492,110933.27198527945,224062.24250940297,220529.7699849495,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,231991.45187484106,143743.26083996645,76211.23364568492,110933.27198527945,224062.24250940297,220529.7699849495
LEC LVI Multipolar Pyramidal,26,24,15,7,27,17,27,25,16,8,28,18,229158.10249319152,137308.2437021637,74349.04896581652,58407.13279806113,224690.3114013433,216939.22240732957,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,229158.10249319152,137308.2437021637,74349.04896581652,58407.13279806113,224690.3114013433,216939.22240732957
