method,n_seeds,mean_length,median_length,mean_transition_weight,mean_summed_weight,median_summed_weight,max_summed_weight,n_unique_termini
boltzmann_path_sampling,32,23.25,23.0,216266.3475938454,216266.3475938454,229270.0771714623,236690.44493721254,4
branch_and_bound,32,25.71875,26.0,177627.43620111348,177627.43620111348,171725.20448542119,232244.06169885187,2
greedy_tree_path,32,16.6875,16.0,125314.2411090784,125314.2411090784,121527.33390020541,195127.34249268565,4
maximum_spanning_tree,32,5.46875,6.0,95745.16627732743,95745.16627732743,109051.22021120865,114610.21586127703,2
monte_carlo_tree_search,32,25.5,25.5,215489.47574878862,215489.47574878862,224574.91943055153,233842.27829407708,3
weighted_random_walk_ensemble,32,22.6875,23.0,208659.36070984084,208659.36070984084,219175.60857257727,229399.79272312662,5
