method,seed,length_edges,n_nodes_visited,transition_weight_sum,summed_weight,terminus,path,bb_states_seen,bb_status,bb_score,best_sample_score,mean_sample_score,median_sample_score,sample_score_std,terminal_entropy_bits,top_edge_visit_probability,n_unique_terminals_sampled,n_unique_edges_sampled,n_walks,weight_power,stop_probability,mcts_iterations,mcts_exploration_weight,mcts_rollout_temperature,mcts_states_visited,mcts_best_score,n_samples,temperature
greedy_tree_path,EC LI II Multipolar Pyramidal,14,15,155698.90674238442,155698.90674238442,CA1 Radiatum Giant,EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LI II Pyramidal Fan,15,16,163171.34384923204,163171.34384923204,CA1 Radiatum Giant,EC LI II Pyramidal Fan -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LII III Pyramidal Tripolar,15,16,159915.302446034,159915.302446034,CA1 Radiatum Giant,EC LII III Pyramidal Tripolar -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LIII Pyramidal,16,17,70863.65275640332,70863.65275640332,CA1 Radiatum Giant,EC LIII Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LIII Pyramidal Stellate,16,17,75217.68818495833,75217.68818495833,CA1 Radiatum Giant,EC LIII Pyramidal Stellate -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LIII Stellate,22,23,194837.7148272929,194837.7148272929,CA1 Radiatum Giant,EC LIII Stellate -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> MEC LIII Bipolar Complex Pyramidal -> MEC LII III Pyramidal Multiform -> MEC LV Multipolar Pyramidal -> MEC LV Superficial Pyramidal -> MEC LV Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA2 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LIII V Bipolar Pyramidal,16,17,108993.79474688401,108993.79474688401,CA3 Granule,EC LIII V Bipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> EC LV Deep Pyramidal -> MEC LV Pyramidal -> DG Granule -> DG Mossy -> DG Hilar Ectopic Granule -> CA3c Pyramidal -> CA2 Pyramidal -> CA3 Pyramidal -> CA3 Granule,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LIV VI Deep Multipolar Principal,17,18,69254.61751614326,69254.61751614326,CA1 Radiatum Giant,EC LIV VI Deep Multipolar Principal -> MEC LV VI Pyramidal Polymorphic -> EC LV Deep Pyramidal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> CA1 Pyramidal -> EC LIII V Bipolar Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,EC LV Deep Pyramidal,17,18,68952.1721771052,68952.1721771052,CA1 Radiatum Giant,EC LV Deep Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> LEC LIII Multipolar Principal -> LEC LIII Complex Pyramidal -> EC LIII Pyramidal Stellate -> CA1 Pyramidal -> EC LIII V Bipolar Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA2 Pyramidal -> DG Mossy -> DG Hilar Ectopic Granule -> CA3 Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
greedy_tree_path,LEC LIII Complex Pyramidal,14,15,155794.07654363938,155794.07654363938,CA1 Radiatum Giant,LEC LIII Complex Pyramidal -> LEC LIII Multipolar Principal -> EC LI II Multipolar Pyramidal -> MEC LIII Bipolar Complex Pyramidal -> MEC LIII Complex Pyramidal -> MEC LII Stellate -> CA3 Granule -> CA3c Pyramidal -> CA1 Pyramidal -> MEC LV VI Pyramidal Polymorphic -> EC LIV VI Deep Multipolar Principal -> LEC LVI Multipolar Pyramidal -> EC LIII Pyramidal Stellate -> SUB CA1 Projecting Pyramidal -> CA1 Radiatum Giant,,,,,,,,,,,,,,,,,,,,,
