table_type,method,seed,sender,receiver,visit_count,visit_probability,weight
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,175,0.0875,5659.759259805604
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,36,0.018,511.5294987890816
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,EC LIII Pyramidal Stellate,74,0.037,1011.5457136863564
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,EC LIII Stellate,29,0.0145,217.134348499229
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,EC LIII Pyramidal,49,0.0245,65.42000887199006
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,MEC LV Superficial Pyramidal,16,0.008,17.56277497888917
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,MEC LII Stellate,51,0.0255,135.01248410172684
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Stellate,CA3 Granule,259,0.1295,19640.6765649223
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3 Granule,CA3c Pyramidal,213,0.1065,2.280811281935155
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3 Pyramidal,CA1 Radiatum Giant,152,0.076,303.66294985857763
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,215,0.1075,5382.001268082903
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,MEC LV Multipolar Pyramidal,88,0.044,1174.282004366153
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Multipolar Pyramidal,MEC LIII Complex Pyramidal,122,0.061,457.2402797600769
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Oblique Pyramidal,EC LIII Pyramidal Stellate,32,0.016,43.86731164829159
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,EC LII III Pyramidal Tripolar,53,0.0265,254.6407583376596
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,EC LV Deep Pyramidal,5,0.0025,402.69113718335626
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LV Deep Pyramidal,EC LIII V Bipolar Pyramidal,71,0.0355,180.4005489546849
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,LEC LIII Multipolar Principal,64,0.032,1092.637693563088
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,MEC LIII Bipolar Complex Pyramidal,79,0.0395,110.49107949247347
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,MEC LV Superficial Pyramidal,46,0.023,146.3802679317498
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Pyramidal,EC LI II Multipolar Pyramidal,6,0.003,397.3319836201498
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3 Granule,CA3 Pyramidal,124,0.062,0.942018883295193
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3 Pyramidal,CA2 Pyramidal,129,0.0645,12467.302061608583
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA2 Pyramidal,DG Hilar Ectopic Granule,63,0.0315,2250.306876192298
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Hilar Ectopic Granule,DG Mossy,305,0.1525,1.6138578915994803
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Mossy,DG Granule,237,0.1185,968.2502990077752
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Granule,CA3c Pyramidal,63,0.0315,1802.511478373572
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3c Pyramidal,CA1 Radiatum Giant,154,0.077,4064.510468839344
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Pyramidal,SUB CA1 Projecting Pyramidal,141,0.0705,4318.325857573143
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,LEC LIII Complex Pyramidal,95,0.0475,1319.060493589653
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Complex Pyramidal,EC LV Deep Pyramidal,28,0.014,185.8316194118165
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,68,0.034,169.029345615202
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Multipolar Pyramidal,MEC LII III Pyramidal Multiform,29,0.0145,86.53322359735522
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Stellate,31,0.0155,308.0929075038045
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Stellate,EC LI II Multipolar Pyramidal,8,0.004,1179.869598894783
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Multipolar Pyramidal,EC LIII Stellate,45,0.0225,29349.85984134182
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,264,0.132,1193.0847203135872
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3c Pyramidal,DG Hilar Ectopic Granule,44,0.022,4595.549003214172
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Granule,CA2 Pyramidal,97,0.0485,3360.733225493062
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Complex Pyramidal,EC LIII Stellate,71,0.0355,422.07977447495017
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,LEC LIII Multipolar Principal,55,0.0275,400.0823418406856
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,EC LIII Pyramidal,67,0.0335,254.50402850154305
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,MEC LIII Bipolar Complex Pyramidal,25,0.0125,30.24567741971778
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,137,0.0685,861.1914192115519
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,MEC LV Multipolar Pyramidal,35,0.0175,159.8639157558095
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,64,0.032,115.70855122819788
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Hilar Ectopic Granule,CA3 Pyramidal,118,0.059,0.0133035385226386
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LV Deep Pyramidal,MEC LV VI Pyramidal Polymorphic,106,0.053,633.5577406795122
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,135,0.0675,2246.3636143897743
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,EC LIII V Bipolar Pyramidal,40,0.02,209.4703326398128
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,MEC LV Pyramidal,15,0.0075,226.0217597456127
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Granule,DG Hilar Ectopic Granule,150,0.075,25114.71428869603
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Pyramidal,MEC LV Pyramidal,125,0.0625,3424.360693274852
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Granule,CA3 Pyramidal,41,0.0205,234.86430763410192
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA2 Pyramidal,DG Mossy,158,0.079,4836.413875657298
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,EC LIII V Bipolar Pyramidal,10,0.005,64.26247682525823
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,MEC LV Multipolar Pyramidal,30,0.015,357.100892631283
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,EC LV Deep Pyramidal,358,0.179,78.22850736136446
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,LEC LIII Complex Pyramidal,130,0.065,175.93242994355498
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,100,0.05,814.9191961799069
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,MEC LIII Complex Pyramidal,87,0.0435,495.9622533998108
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,61,0.0305,30698.001365671505
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Stellate,17,0.0085,65.96508301620779
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,MEC LII III Pyramidal Multiform,60,0.03,64.21168926195364
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3 Pyramidal,CA3c Pyramidal,79,0.0395,6774.278639391325
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3c Pyramidal,DG Granule,59,0.0295,7159.489110348726
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,MEC LV VI Pyramidal Polymorphic,56,0.028,927.9060870741498
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,92,0.046,538.1000722266449
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Oblique Pyramidal,MEC LV Multipolar Pyramidal,34,0.017,64.19606531679433
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Pyramidal,DG Hilar Ectopic Granule,89,0.0445,3669.647725263941
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA2 Pyramidal,CA3 Granule,80,0.04,592.9863345985209
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA3c Pyramidal,SUB CA1 Projecting Pyramidal,43,0.0215,1119.4402227874016
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,MEC LV Multipolar Pyramidal,30,0.015,88.14001657842442
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Multipolar Pyramidal,EC LIII V Bipolar Pyramidal,15,0.0075,31.88776158532124
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,LEC LIII Complex Pyramidal,35,0.0175,578.5387259197909
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,EC LI II Multipolar Pyramidal,180,0.09,539.4518276519966
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Multipolar Pyramidal,EC LIII Pyramidal,39,0.0195,24063.94192432837
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,EC LII III Pyramidal Tripolar,17,0.0085,18.60625677457176
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,EC LIII Pyramidal Stellate,19,0.0095,1645.5753097666966
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,50,0.025,224.7017486044421
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII III Pyramidal Multiform,MEC LV Pyramidal,70,0.035,548.8069668104904
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,MEC LIII Complex Pyramidal,82,0.041,1055.6037252397975
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII III Pyramidal Multiform,MEC LV Superficial Pyramidal,48,0.024,589.7870748828476
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,MEC LII Oblique Pyramidal,22,0.011,70.51994016979222
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,CA1 Radiatum Giant,58,0.029,253.3952668500652
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,EC LII III Pyramidal Tripolar,60,0.03,48.98798814646632
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,MEC LII Stellate,65,0.0325,3189.046054691212
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Multipolar Pyramidal,EC LIII V Bipolar Pyramidal,13,0.0065,6342.237378644648
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,MEC LII III Pyramidal Multiform,85,0.0425,496.8518298322453
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII III Pyramidal Multiform,MEC LV VI Pyramidal Polymorphic,77,0.0385,1304.0113874450217
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,LEC LIII Multipolar Principal,94,0.047,1887.6870292903488
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,LEC LIII Complex Pyramidal,32,0.016,54.00019845163271
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,MEC LIII Bipolar Complex Pyramidal,93,0.0465,418.9168875087689
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,MEC LV Multipolar Pyramidal,57,0.0285,218.5111462490885
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,EC LII III Pyramidal Tripolar,55,0.0275,69.81600034271409
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Stellate,EC LIV VI Deep Multipolar Principal,2,0.001,267.8934439986594
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,MEC LV Superficial Pyramidal,39,0.0195,384.0111387577682
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,EC LIII Pyramidal,6,0.003,33.455005683021945
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,MEC LV Pyramidal,10,0.005,12.760099858249111
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Pyramidal,DG Semilunar Granule,20,0.01,525.4341809218159
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Semilunar Granule,CA3c Pyramidal,73,0.0365,197.66611097545177
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,EC LIII V Bipolar Pyramidal,68,0.034,101.04977810289805
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Stellate,CA3 Pyramidal,54,0.027,3923.6590067203424
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA2 Pyramidal,CA3c Pyramidal,78,0.039,2212.266414990227
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,EC LIII Stellate,29,0.0145,338.62065230287004
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII III Pyramidal Multiform,MEC LIII Complex Pyramidal,55,0.0275,1284.918689522972
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,CA1 Pyramidal,MEC LV Multipolar Pyramidal,134,0.067,3851.18781666244
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Multipolar Pyramidal,EC LIII Pyramidal Stellate,26,0.013,53.32462209597836
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Multipolar Pyramidal,MEC LIII Complex Pyramidal,11,0.0055,13875.828485835094
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,EC LIII V Bipolar Pyramidal,17,0.0085,70.6767736813437
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,LEC LVI Multipolar Pyramidal,38,0.019,689.2334744065386
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,EC LV Deep Pyramidal,30,0.015,121.9945483827234
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Stellate,EC LII III Pyramidal Tripolar,11,0.0055,779.0692730636243
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,DG Granule,63,0.0315,2807.534322760256
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,DG Mossy,DG Semilunar Granule,114,0.057,50.6486718617241
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII V Bipolar Pyramidal,EC LII III Pyramidal Tripolar,23,0.0115,340.43569682470206
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,MEC LII Oblique Pyramidal,32,0.016,1831.767241236225
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Oblique Pyramidal,MEC LIII Complex Pyramidal,55,0.0275,455.4398944649327
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII III Pyramidal Multiform,MEC LIII Bipolar Complex Pyramidal,29,0.0145,482.7749536321309
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal Stellate,19,0.0095,97.5251103043308
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LV Deep Pyramidal,MEC LV Superficial Pyramidal,44,0.022,71.48087991739837
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,EC LIII Pyramidal Stellate,18,0.009,71.06776290355756
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal Stellate,EC LIII Pyramidal,55,0.0275,241.99019548048847
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,LEC LVI Multipolar Pyramidal,15,0.0075,45.56452135903709
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LI II Multipolar Pyramidal,MEC LII III Pyramidal Multiform,42,0.021,21388.04746977641
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LVI Multipolar Pyramidal,EC LIII Pyramidal,37,0.0185,46.10204179653461
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Pyramidal,EC LIII Pyramidal Stellate,34,0.017,55.30606722486277
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII V Bipolar Pyramidal,14,0.007,33.47936501901712
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Complex Pyramidal,EC LIV VI Deep Multipolar Principal,26,0.013,182.03338687850896
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,74,0.037,149.07265177363325
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Bipolar Complex Pyramidal,MEC LII Oblique Pyramidal,47,0.0235,129.39404235709722
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LII Oblique Pyramidal,EC LII III Pyramidal Tripolar,12,0.006,11.97337518907701
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,EC LII III Pyramidal Tripolar,89,0.0445,312.6527957360244
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LII III Pyramidal Tripolar,LEC LIII Complex Pyramidal,21,0.0105,1473.3354903489894
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LIII Complex Pyramidal,MEC LV Superficial Pyramidal,24,0.012,161.33957141120445
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,MEC LV Superficial Pyramidal,EC LIV VI Deep Multipolar Principal,4,0.002,25.32830792342784
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,EC LIII V Bipolar Pyramidal,71,0.0355,1041.5860657419018
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,129,0.0645,556.0635991085179
edge_frequency,weighted_random_walk_ensemble,CA1 Pyramidal,EC LIII Stellate,EC LIII V Bipolar Pyramidal,12,0.006,17.203193101718238
