variant,motif,description,motif_count,edges_removed,dominant_eigenvalue_before,dominant_real_before,dominant_imag_before,spectral_radius_before,dominant_eigenvalue_after,dominant_real_after,dominant_imag_after,spectral_radius_after,delta_dominant_real,delta_spectral_radius
with_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(0.8500000000000004+0j),0.8500000000000004,0.0,0.8500000000000004,(0.5634881349948329+0j),0.5634881349948329,0.0,0.5634881349948329,-0.28651186500516757,-0.28651186500516757
with_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(0.8500000000000004+0j),0.8500000000000004,0.0,0.8500000000000004,(0.5634881349948329+0j),0.5634881349948329,0.0,0.5634881349948329,-0.28651186500516757,-0.28651186500516757
with_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(0.8500000000000004+0j),0.8500000000000004,0.0,0.8500000000000004,(0.8493084019480635+0j),0.8493084019480635,0.0,0.8493084019480635,-0.0006915980519369702,-0.0006915980519369702
with_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(0.8500000000000004+0j),0.8500000000000004,0.0,0.8500000000000004,(0.8493084019480635+0j),0.8493084019480635,0.0,0.8493084019480635,-0.0006915980519369702,-0.0006915980519369702
with_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(0.8500000000000004+0j),0.8500000000000004,0.0,0.8500000000000004,(0.8856390292873773+0j),0.8856390292873773,0.0,0.8856390292873773,0.03563902928737683,0.03563902928737683
with_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,12468,1202,(0.8500000000000004+0j),0.8500000000000004,0.0,0.8500000000000004,(0.8856390292873786+0j),0.8856390292873786,0.0,0.8856390292873786,0.035639029287378166,0.035639029287378166
no_self,all_excitatory_edges_E_to_E,All edges with excitatory source and excitatory receiver.,355,355,(0.8500000000000025+0j),0.8500000000000025,0.0,0.8500000000000025,(0.09940808078571108+0.02179122818518396j),0.09940808078571108,0.02179122818518396,0.5488483823255121,-0.7505919192142915,-0.3011516176744904
no_self,all_excitatory_E_E_E_chains,Two-step chains containing only excitatory nodes.,4472,355,(0.8500000000000025+0j),0.8500000000000025,0.0,0.8500000000000025,(0.09940808078571108+0.02179122818518396j),0.09940808078571108,0.02179122818518396,0.5488483823255121,-0.7505919192142915,-0.3011516176744904
no_self,all_inhibitory_edges_I_to_I,All edges with inhibitory source and inhibitory receiver.,692,692,(0.8500000000000025+0j),0.8500000000000025,0.0,0.8500000000000025,(0.8376913123225885+0j),0.8376913123225885,0.0,0.8376913123225885,-0.012308687677413999,-0.012308687677413999
no_self,all_inhibitory_I_I_I_chains,Two-step chains containing only inhibitory nodes.,9553,692,(0.8500000000000025+0j),0.8500000000000025,0.0,0.8500000000000025,(0.8376913123225885+0j),0.8376913123225885,0.0,0.8376913123225885,-0.012308687677413999,-0.012308687677413999
no_self,E_I_E_inhibitory_feedback,Expected-sign E->I->E inhibitory feedback paths.,1341,515,(0.8500000000000025+0j),0.8500000000000025,0.0,0.8500000000000025,(0.9958967689458822+0j),0.9958967689458822,0.0,0.9958967689458822,0.14589676894587966,0.14589676894587966
no_self,E_I_I_E_disinhibitory_feedback,Expected-sign E->I->I->E disinhibitory feedback paths.,11255,1159,(0.8500000000000025+0j),0.8500000000000025,0.0,0.8500000000000025,(0.9958967689458845+0j),0.9958967689458845,0.0,0.9958967689458845,0.145896768945882,0.145896768945882
