variant,component,z_real,z_imag,rho_MII_over_z,spectral_radius,spectral_abscissa,dominant_eigenvalue,dominant_real,dominant_imag
with_self,M_EE,0.8500000000000004,0.0,0.18220560123267737,0.8856390292873789,0.8856390292873789,(0.8856390292873789+0j),0.8856390292873789,0.0
with_self,inhibitory_feedback,0.8500000000000004,0.0,0.18220560123267737,0.09884220697104588,0.005187558842569189,(0.005187558842569189+0j),0.005187558842569189,0.0
with_self,M_eff_E,0.8500000000000004,0.0,0.18220560123267737,0.849999999999999,0.849999999999999,(0.849999999999999+0j),0.849999999999999,0.0
no_self,M_EE,0.8500000000000025,0.0,0.13690687650089242,0.9958967689458829,0.9958967689458829,(0.9958967689458829+0j),0.9958967689458829,0.0
no_self,inhibitory_feedback,0.8500000000000025,0.0,0.13690687650089242,0.31055412809005073,0.01556130726478338,(0.01556130726478338+0j),0.01556130726478338,0.0
no_self,M_eff_E,0.8500000000000025,0.0,0.13690687650089242,0.8499999999999992,0.8499999999999992,(0.8499999999999992+0j),0.8499999999999992,0.0
