variant,removed_block,block_meaning,dominant_real_before,dominant_real_after,delta_dominant_real,spectral_radius_before,spectral_radius_after,delta_spectral_radius,first_order_delta_real,first_order_delta_imag
with_self,EE,E source -> E receiver,0.8500000000000004,0.06318070310719971,-0.7868192968928007,0.8500000000000004,0.31195639538841785,-0.5380436046115826,-0.9180124437570395,0.0
with_self,II,I source -> I receiver,0.8500000000000004,0.8436472161745749,-0.006352783825425479,0.8500000000000004,0.8436472161745749,-0.006352783825425479,-0.005313377170938512,0.0
with_self,EI,E source -> I receiver,0.8500000000000004,0.8856390292873788,0.03563902928737839,0.8500000000000004,0.8856390292873788,0.03563902928737839,0.03666291046398944,0.0
with_self,IE,I source -> E receiver,0.8500000000000004,0.8856390292873801,0.03563902928737972,0.8500000000000004,0.8856390292873801,0.03563902928737972,0.03666291046398945,0.0
no_self,EE,E source -> E receiver,0.8500000000000025,0.09940808078571108,-0.7505919192142915,0.8500000000000025,0.5488483823255121,-0.3011516176744904,-1.171210987614355,0.0
no_self,II,I source -> I receiver,0.8500000000000025,0.8376913123225885,-0.012308687677413999,0.8500000000000025,0.8376913123225885,-0.012308687677413999,-0.011155374095254465,0.0
no_self,EI,E source -> I receiver,0.8500000000000025,0.9958967689458817,0.14589676894587922,0.8500000000000025,0.9958967689458817,0.14589676894587922,0.1661831808548057,0.0
no_self,IE,I source -> E receiver,0.8500000000000025,0.9958967689458822,0.14589676894587966,0.8500000000000025,0.9958967689458822,0.14589676894587966,0.16618318085480566,0.0
