method,target,scale,spectral_radius,spectral_abscissa,dominant_eigenvalue,dominant_real,dominant_imag,variant
spectral_radius,0.85,3.2426497563600094e-05,0.8500000000000004,0.8500000000000004,(0.8500000000000004+0j),0.8500000000000004,0.0,with_self
spectral_radius,0.85,5.7285866027772015e-05,0.8500000000000025,0.8500000000000025,(0.8500000000000025+0j),0.8500000000000025,0.0,no_self
