receiver_group,sender_group,n_nonzero,mean_entry_sensitivity,sum_weighted_sensitivity,mean_nonzero_weighted_sensitivity
E,E,382,0.021675503772479208,1.0800146397141652,0.0028272634547491238
E,I,171,0.06922992910618571,-0.04313283583998763,-0.000252238806081799
I,E,352,-7.667486332065383e-05,-0.04313283583998765,-0.00012253646545451035
I,I,736,-0.00024489374769019273,0.006251031965810021,8.493249953546225e-06
