pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,g_ij
1007,1035,DG Neurogliaform,DG Basket,i,i,1.192
1007,1041,DG Neurogliaform,DG Hilar Ectopic Granule,i,e,1.106
1007,4011,DG Neurogliaform,CA1 Neurogliaform Projecting,i,i,1.26
1007,5005,DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,1.163
1008,1000,DG MOPP,DG Granule,i,e,1.319
1008,1001,DG MOPP,DG Semilunar Granule,i,e,1.08
1008,1004,DG MOPP,DG Total Molecular Layer,i,i,1.17
1008,1005,DG MOPP,DG MOLAX,i,i,1.082
1008,1007,DG MOPP,DG Neurogliaform,i,i,1.086
1008,1008,DG MOPP,DG MOPP,i,i,1.142
1008,1009,DG MOPP,DG HICAP,i,i,0.8501
1008,1010,DG MOPP,DG Axo Axonic,i,i,1.194
1008,1027,DG MOPP,DG AIPRIM,i,i,1.251
1008,1035,DG MOPP,DG Basket,i,i,1.152
1008,1041,DG MOPP,DG Hilar Ectopic Granule,i,e,1.055
1008,4011,DG MOPP,CA1 Neurogliaform Projecting,i,i,1.218
1009,1000,DG HICAP,DG Granule,i,e,1.0
1009,1001,DG HICAP,DG Semilunar Granule,i,e,0.8247
1009,1004,DG HICAP,DG Total Molecular Layer,i,i,0.8833
1009,1005,DG HICAP,DG MOLAX,i,i,0.8107
1009,1009,DG HICAP,DG HICAP,i,i,0.4797
1009,1010,DG HICAP,DG Axo Axonic,i,i,0.8549
1009,1026,DG HICAP,DG HIPROM,i,i,0.9039
1009,1027,DG HICAP,DG AIPRIM,i,i,0.8573
1009,1035,DG HICAP,DG Basket,i,i,0.8099
1009,1041,DG HICAP,DG Hilar Ectopic Granule,i,e,0.7782
1010,1000,DG Axo Axonic,DG Granule,i,e,3.199
1010,1002,DG Axo Axonic,DG Mossy,i,e,2.378
1010,1041,DG Axo Axonic,DG Hilar Ectopic Granule,i,e,2.091
1013,1000,DG HIPP,DG Granule,i,e,1.624
1013,1001,DG HIPP,DG Semilunar Granule,i,e,1.414
1013,1004,DG HIPP,DG Total Molecular Layer,i,i,1.522
1013,1005,DG HIPP,DG MOLAX,i,i,1.393
1013,1007,DG HIPP,DG Neurogliaform,i,i,1.365
