pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG Total Molecular Layer,DG Hilar Ectopic Granule,i,e,-8514.869900625,0.02539,-216.19254677686877
DG Total Molecular Layer,CA1 Neurogliaform Projecting,i,i,-2118.724266658365,0.02287,-48.455223978476816
DG MOLAX,DG Granule,i,e,-3449.792252552701,0.04463,-153.96422823142706
DG MOLAX,DG Semilunar Granule,i,e,-3165.3755039969014,0.00401,-12.693155771027573
DG MOLAX,DG Total Molecular Layer,i,i,-1995.5460354155348,0.0744,-148.4686250349158
DG MOLAX,DG MOLAX,i,i,-2898.418977834144,0.0744,-215.64237195086028
DG MOLAX,DG Neurogliaform,i,i,-1340.9534767075204,0.01186,-15.903708233751193
DG MOLAX,DG MOPP,i,i,-1795.9360443570004,0.01389,-24.945551656118734
DG MOLAX,DG HICAP,i,i,-2198.1558503677497,0.21477,-472.0979319834816
DG MOLAX,DG Axo Axonic,i,i,-2035.0466104196598,0.27069,-550.8667669744976
DG MOLAX,DG HIPROM,i,i,-1657.5868676203204,0.03192,-52.91017281444062
DG MOLAX,DG AIPRIM,i,i,-1899.0558770040002,0.2501,-474.9538748387004
DG MOLAX,DG Basket,i,i,-2118.6820999485644,0.09135,-193.54160983030135
DG MOLAX,DG Hilar Ectopic Granule,i,e,-3355.3768550094,0.02539,-85.19301834868867
DG MOLAX,CA1 Neurogliaform Projecting,i,i,-1904.106605960637,0.02287,-43.54691807831977
DG Neurogliaform,DG Granule,i,e,-48.70676802368521,0.04463,-2.173783056897071
DG Neurogliaform,DG Semilunar Granule,i,e,-52.294380089591996,0.00401,-0.20970046415926388
DG Neurogliaform,DG Total Molecular Layer,i,i,-15.685178136465602,0.0744,-1.1669772533530407
DG Neurogliaform,DG MOLAX,i,i,-42.370045961546886,0.0744,-3.152331419539088
DG Neurogliaform,DG Neurogliaform,i,i,-6.547511973475201,0.01186,-0.0776534920054159
DG Neurogliaform,DG MOPP,i,i,-12.598702910112003,0.01389,-0.17499598342145573
DG Neurogliaform,DG HICAP,i,i,-18.19643688513252,0.21477,-3.908048749819911
DG Neurogliaform,DG Axo Axonic,i,i,-39.49972998325202,0.27069,-10.692181909166488
DG Neurogliaform,DG AIPRIM,i,i,-16.4847001493328,0.2501,-4.122823507348133
DG Neurogliaform,DG Basket,i,i,-19.15346085054624,0.09135,-1.749668648697399
DG Neurogliaform,DG Hilar Ectopic Granule,i,e,-55.48440426480001,0.02539,-1.4087490242832723
DG Neurogliaform,CA1 Neurogliaform Projecting,i,i,-32.1361704991404,0.02287,-0.734954219315341
DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,-285.546931192908,0.02145,-6.124981674087877
DG MOPP,DG Granule,i,e,-141.22529697224,0.04463,-6.302885003871071
DG MOPP,DG Semilunar Granule,i,e,-130.09502718,0.00401,-0.5216810589918
DG MOPP,DG Total Molecular Layer,i,i,-90.384323968575,0.0744,-6.72459370326198
DG MOPP,DG MOLAX,i,i,-119.167081191215,0.0744,-8.866030840626395
DG MOPP,DG Neurogliaform,i,i,-119.88691528800003,0.01186,-1.4218588153156804
DG MOPP,DG MOPP,i,i,-140.097609072,0.01389,-1.9459557900100801
DG MOPP,DG HICAP,i,i,-81.33840568853999,0.21477,-17.469049389727733
DG MOPP,DG Axo Axonic,i,i,-87.67444964396104,0.27069,-23.732596774123813
DG MOPP,DG AIPRIM,i,i,-76.56289324101002,0.2501,-19.148379599576604
DG MOPP,DG Basket,i,i,-89.79318890380797,0.09135,-8.202607806362858
DG MOPP,DG Hilar Ectopic Granule,i,e,-132.66519157125,0.02539,-3.3683692139940375
DG MOPP,CA1 Neurogliaform Projecting,i,i,-184.73964355255498,0.02287,-4.224995648046932
DG HICAP,DG Granule,i,e,-125.96014447200001,0.04463,-5.621601247785361
DG HICAP,DG Semilunar Granule,i,e,-103.01006218744799,0.00401,-0.41307034937166637
DG HICAP,DG Total Molecular Layer,i,i,-86.2667051610375,0.0744,-6.41824286398119
DG HICAP,DG MOLAX,i,i,-157.5078306872915,0.0744,-11.718582603134486
DG HICAP,DG HICAP,i,i,-69.4683689082201,0.21477,-14.91972159041843
DG HICAP,DG Axo Axonic,i,i,-67.32888292304713,0.27069,-18.225255318439626
DG HICAP,DG HIPROM,i,i,-198.4055371170163,0.03192,-6.33310474477516
DG HICAP,DG AIPRIM,i,i,-70.6828635016812,0.2501,-17.677784161770468
DG HICAP,DG Basket,i,i,-74.92934951603009,0.09135,-6.844796078289349
DG HICAP,DG Hilar Ectopic Granule,i,e,-122.781875814864,0.02539,-3.117431826939397
DG Axo Axonic,DG Granule,i,e,-290.3527656912882,0.04463,-12.958443932802194
DG Axo Axonic,DG Mossy,i,e,-307.6364004443646,0.029,-8.921455612886573
DG Axo Axonic,DG Hilar Ectopic Granule,i,e,-279.33669893877413,0.02539,-7.092358786055475
DG HIPP,DG Granule,i,e,-4519.965682348033,0.04463,-201.72606840319273
DG HIPP,DG Semilunar Granule,i,e,-4421.7588128857915,0.00401,-17.731252839672024
DG HIPP,DG Total Molecular Layer,i,i,-2415.9540026948066,0.0744,-179.7469778004936
DG HIPP,DG MOLAX,i,i,-3142.6274015190106,0.0744,-233.81147867301436
DG HIPP,DG Neurogliaform,i,i,-3892.431415672801,0.01186,-46.16423658987942
DG HIPP,DG MOPP,i,i,-5264.097257229121,0.01389,-73.1183109029125
DG HIPP,DG HICAP,i,i,-2581.4899657562396,0.21477,-554.4265999454675
DG HIPP,DG Axo Axonic,i,i,-3199.135215302203,0.27069,-865.9739114301533
DG HIPP,DG AIPRIM,i,i,-2244.4833874161595,0.2501,-561.3452951927815
DG HIPP,DG Basket,i,i,-3295.452961004138,0.09135,-301.039627987728
DG HIPP,DG Hilar Ectopic Granule,i,e,-4067.7105389628005,0.02539,-103.2791705842655
DG HIPP,CA1 Neurogliaform Projecting,i,i,-5463.381349298198,0.02287,-124.9475314584498
DG HIPROM,DG Granule,i,e,-7.1978899792696005,0.04463,-0.3212418297748023
DG HIPROM,DG Semilunar Granule,i,e,-7.083911847743999,0.00401,-0.028406486509453432
DG HIPROM,DG Mossy,i,e,-10.8700582906608,0.029,-0.3152316904291632
DG HIPROM,DG Total Molecular Layer,i,i,-12.994857704267998,0.0744,-0.966817413197539
DG HIPROM,DG MOLAX,i,i,-16.76995865136,0.0744,-1.2476849236611838
DG HIPROM,DG Neurogliaform,i,i,-2.5642720667200005,0.01186,-0.030412266711299207
DG HIPROM,DG MOPP,i,i,-3.530191984000001,0.01389,-0.04903436665776001
DG HIPROM,DG HICAP,i,i,-14.561764116480001,0.21477,-3.12743007929641
DG HIPROM,DG Axo Axonic,i,i,-12.128599230400003,0.27069,-3.2830905256769767
DG HIPROM,DG HIPP,i,i,-5.363385439104,0.01581,-0.08479512379223425
DG HIPROM,DG HIPROM,i,i,-24.633322354368,0.03192,-0.7862956495514265
DG HIPROM,DG AIPRIM,i,i,-16.4379653856,0.2501,-4.11113514293856
DG HIPROM,DG Basket,i,i,-13.702803714431997,0.09135,-1.251751119313363
DG HIPROM,DG Hilar Ectopic Granule,i,e,-17.330626404,0.02539,-0.44002460439755997
DG HIPROM,CA3 Pyramidal,i,e,-8.449511820749997,0.0123,-0.10392899539522496
DG HIPROM,CA3 Granule,i,e,-0.18209423899259997,0.07366,-0.013413061644194915
DG HIPROM,CA3c Pyramidal,i,e,-7.819844383472001,0.01712,-0.13387573584504064
DG HIPROM,CA3 LMR Targeting,i,i,-1.4055510994559999,0.06811,-0.09573208538394816
DG HIPROM,CA3 O LM,i,i,-3.0569612468720004,0.17804,-0.544261380393091
DG HIPROM,CA3 Lucidum ORAX,i,i,-2.6136706527360003,0.31002,-0.8102901757612149
DG HIPROM,CA3 Spiny Lucidum,i,i,-4.800530427901959,0.03588,-0.1722430317531223
DG HIPROM,CA3 Trilaminar,i,i,-3.5435817231359996,0.01016,-0.03600279030706176
DG HIPROM,CA3 Axo Axonic,i,i,-4.73223125925,0.11589,-0.5484182806344825
DG HIPROM,CA3 Mossy Fiber Associated ORDEN,i,i,-7.843745092919999,0.12381,-0.9711340799544251
DG HIPROM,CA3 Mossy Fiber Associated,i,i,-5.001931573316776,0.10855,-0.542959672283536
