pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,c_ij
1007,1009,DG Neurogliaform,DG HICAP,i,i,0.0003998
1007,1010,DG Neurogliaform,DG Axo Axonic,i,i,0.001099
1007,1027,DG Neurogliaform,DG AIPRIM,i,i,0.0003661
1007,1035,DG Neurogliaform,DG Basket,i,i,0.0004149
1007,1041,DG Neurogliaform,DG Hilar Ectopic Granule,i,e,0.0009608
1007,4011,DG Neurogliaform,CA1 Neurogliaform Projecting,i,i,0.0002827
1007,5005,DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,0.006678
1008,1000,DG MOPP,DG Granule,i,e,0.003394
1008,1001,DG MOPP,DG Semilunar Granule,i,e,0.003671
1008,1004,DG MOPP,DG Total Molecular Layer,i,i,0.002345
1008,1005,DG MOPP,DG MOLAX,i,i,0.003253
1008,1007,DG MOPP,DG Neurogliaform,i,i,0.002492
1008,1008,DG MOPP,DG MOPP,i,i,0.00279
1008,1009,DG MOPP,DG HICAP,i,i,0.002855
1008,1010,DG MOPP,DG Axo Axonic,i,i,0.003911
1008,1027,DG MOPP,DG AIPRIM,i,i,0.002733
1008,1035,DG MOPP,DG Basket,i,i,0.003103
1008,1041,DG MOPP,DG Hilar Ectopic Granule,i,e,0.003705
1008,4011,DG MOPP,CA1 Neurogliaform Projecting,i,i,0.002597
1009,1000,DG HICAP,DG Granule,i,e,0.001758
1009,1001,DG HICAP,DG Semilunar Granule,i,e,0.001794
1009,1004,DG HICAP,DG Total Molecular Layer,i,i,0.001353
1009,1005,DG HICAP,DG MOLAX,i,i,0.002614
1009,1009,DG HICAP,DG HICAP,i,i,0.001873
1009,1010,DG HICAP,DG Axo Axonic,i,i,0.001868
1009,1026,DG HICAP,DG HIPROM,i,i,0.002828
1009,1027,DG HICAP,DG AIPRIM,i,i,0.001567
1009,1035,DG HICAP,DG Basket,i,i,0.001591
1009,1041,DG HICAP,DG Hilar Ectopic Granule,i,e,0.002137
1010,1000,DG Axo Axonic,DG Granule,i,e,0.010416667
1010,1002,DG Axo Axonic,DG Mossy,i,e,0.010416667
1010,1041,DG Axo Axonic,DG Hilar Ectopic Granule,i,e,0.010416667
1013,1000,DG HIPP,DG Granule,i,e,0.005952
1013,1001,DG HIPP,DG Semilunar Granule,i,e,0.006541
1013,1004,DG HIPP,DG Total Molecular Layer,i,i,0.003228
1013,1005,DG HIPP,DG MOLAX,i,i,0.004418
1013,1007,DG HIPP,DG Neurogliaform,i,i,0.004257
1013,1008,DG HIPP,DG MOPP,i,i,0.005529
1013,1009,DG HIPP,DG HICAP,i,i,0.004708
1013,1010,DG HIPP,DG Axo Axonic,i,i,0.007243
1013,1027,DG HIPP,DG AIPRIM,i,i,0.004287
1013,1035,DG HIPP,DG Basket,i,i,0.006093
1013,1041,DG HIPP,DG Hilar Ectopic Granule,i,e,0.006169
1013,4011,DG HIPP,CA1 Neurogliaform Projecting,i,i,0.004042
1026,1000,DG HIPROM,DG Granule,i,e,0.006383
1026,1001,DG HIPROM,DG Semilunar Granule,i,e,0.006684
1026,1002,DG HIPROM,DG Mossy,i,e,0.009444
1026,1004,DG HIPROM,DG Total Molecular Layer,i,i,0.01111
1026,1005,DG HIPROM,DG MOLAX,i,i,0.01503
1026,1007,DG HIPROM,DG Neurogliaform,i,i,0.001807
1026,1008,DG HIPROM,DG MOPP,i,i,0.002386
1026,1009,DG HIPROM,DG HICAP,i,i,0.01772
1026,1010,DG HIPROM,DG Axo Axonic,i,i,0.01906
1026,1013,DG HIPROM,DG HIPP,i,i,0.007118
1026,1026,DG HIPROM,DG HIPROM,i,i,0.01893
1026,1027,DG HIPROM,DG AIPRIM,i,i,0.0198
1026,1035,DG HIPROM,DG Basket,i,i,0.01776
1026,1041,DG HIPROM,DG Hilar Ectopic Granule,i,e,0.01645
1026,2000,DG HIPROM,CA3 Pyramidal,i,e,0.005005
1026,2001,DG HIPROM,CA3 Granule,i,e,0.00019119
1026,2004,DG HIPROM,CA3c Pyramidal,i,e,0.005861
1026,2005,DG HIPROM,CA3 LMR Targeting,i,i,0.001614
1026,2009,DG HIPROM,CA3 O LM,i,i,0.002746
1026,2013,DG HIPROM,CA3 Lucidum ORAX,i,i,0.002504
1026,2019,DG HIPROM,CA3 Spiny Lucidum,i,i,0.004649
1026,2020,DG HIPROM,CA3 Trilaminar,i,i,0.004534
1026,2028,DG HIPROM,CA3 Axo Axonic,i,i,0.006575
1026,2035,DG HIPROM,CA3 Mossy Fiber Associated ORDEN,i,i,0.006449
1026,2036,DG HIPROM,CA3 Mossy Fiber Associated,i,i,0.003424
1026,2043,DG HIPROM,CA3 Basket,i,i,0.005949
1026,2044,DG HIPROM,CA3 Basket CCK+,i,i,0.003357
1026,2047,DG HIPROM,CA3 Horizontal Axo Axonic,i,i,0.001647
1026,3007,DG HIPROM,CA2 Wide Arbor Basket,i,i,0.000903952
1026,4011,DG HIPROM,CA1 Neurogliaform Projecting,i,i,0.001756
1027,1000,DG AIPRIM,DG Granule,i,e,0.00419
1027,1001,DG AIPRIM,DG Semilunar Granule,i,e,0.004097
1027,1002,DG AIPRIM,DG Mossy,i,e,0.007415
1027,1004,DG AIPRIM,DG Total Molecular Layer,i,i,0.007942
1027,1005,DG AIPRIM,DG MOLAX,i,i,0.01107
1027,1009,DG AIPRIM,DG HICAP,i,i,0.01198
1027,1010,DG AIPRIM,DG Axo Axonic,i,i,0.01226
1027,1013,DG AIPRIM,DG HIPP,i,i,0.00524
1027,1026,DG AIPRIM,DG HIPROM,i,i,0.01658
1027,1027,DG AIPRIM,DG AIPRIM,i,i,0.0138
1027,1035,DG AIPRIM,DG Basket,i,i,0.01166
1027,1041,DG AIPRIM,DG Hilar Ectopic Granule,i,e,0.01201
1035,1000,DG Basket,DG Granule,i,e,0.032155006
1035,1004,DG Basket,DG Total Molecular Layer,i,i,0.032155006
1035,1005,DG Basket,DG MOLAX,i,i,0.032155006
1035,1009,DG Basket,DG HICAP,i,i,0.032155006
1035,1010,DG Basket,DG Axo Axonic,i,i,0.032155006
1035,1013,DG Basket,DG HIPP,i,i,0.032155006
1035,1035,DG Basket,DG Basket,i,i,0.032155006
1041,1002,DG Hilar Ectopic Granule,DG Mossy,e,e,0.003758
1041,1004,DG Hilar Ectopic Granule,DG Total Molecular Layer,e,i,0.001636
1041,1005,DG Hilar Ectopic Granule,DG MOLAX,e,i,0.001755
1041,1009,DG Hilar Ectopic Granule,DG HICAP,e,i,0.001208
1041,1010,DG Hilar Ectopic Granule,DG Axo Axonic,e,i,0.00143
1041,1013,DG Hilar Ectopic Granule,DG HIPP,e,i,0.002636
1041,1026,DG Hilar Ectopic Granule,DG HIPROM,e,i,0.002249
1041,1027,DG Hilar Ectopic Granule,DG AIPRIM,e,i,0.002252
1041,1035,DG Hilar Ectopic Granule,DG Basket,e,i,0.00122
1041,1041,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,e,e,0.002395
1041,2000,DG Hilar Ectopic Granule,CA3 Pyramidal,e,e,5.99e-05
1041,2004,DG Hilar Ectopic Granule,CA3c Pyramidal,e,e,0.000131032
1041,2005,DG Hilar Ectopic Granule,CA3 LMR Targeting,e,i,4.57e-05
1041,2013,DG Hilar Ectopic Granule,CA3 Lucidum ORAX,e,i,0.000351704
1041,2019,DG Hilar Ectopic Granule,CA3 Spiny Lucidum,e,i,0.000526625
1041,2028,DG Hilar Ectopic Granule,CA3 Axo Axonic,e,i,0.000560376
1041,2035,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated ORDEN,e,i,0.000241953
1041,2036,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated,e,i,0.000124017
1041,2043,DG Hilar Ectopic Granule,CA3 Basket,e,i,0.000575307
1041,2044,DG Hilar Ectopic Granule,CA3 Basket CCK+,e,i,0.000112126
2000,2000,CA3 Pyramidal,CA3 Pyramidal,e,e,0.01034
2000,2001,CA3 Pyramidal,CA3 Granule,e,e,0.001193
2000,2004,CA3 Pyramidal,CA3c Pyramidal,e,e,0.01052
2000,2005,CA3 Pyramidal,CA3 LMR Targeting,e,i,0.001118
2000,2009,CA3 Pyramidal,CA3 O LM,e,i,0.005504
2000,2013,CA3 Pyramidal,CA3 Lucidum ORAX,e,i,0.004063
2000,2020,CA3 Pyramidal,CA3 Trilaminar,e,i,0.007633
2000,2028,CA3 Pyramidal,CA3 Axo Axonic,e,i,0.008753
2000,2035,CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,0.009025
2000,2036,CA3 Pyramidal,CA3 Mossy Fiber Associated,e,i,0.004178
2000,2043,CA3 Pyramidal,CA3 Basket,e,i,0.008742
2000,2044,CA3 Pyramidal,CA3 Basket CCK+,e,i,0.006646
2000,2047,CA3 Pyramidal,CA3 Horizontal Axo Axonic,e,i,0.003975
2000,3000,CA3 Pyramidal,CA2 Pyramidal,e,e,0.02278
2000,3003,CA3 Pyramidal,CA2 Bistratified,e,i,0.01805
2000,3006,CA3 Pyramidal,CA2 Basket,e,i,0.0146
2000,3007,CA3 Pyramidal,CA2 Wide Arbor Basket,e,i,0.007246
2000,3008,CA3 Pyramidal,CA2 SP SR,e,i,0.01404
2000,4000,CA3 Pyramidal,CA1 Pyramidal,e,e,0.01305
2000,4003,CA3 Pyramidal,CA1 Quadrilaminar,e,i,0.00606
2000,4005,CA3 Pyramidal,CA1 LMR,e,i,0.001697
2000,4006,CA3 Pyramidal,CA1 Perforant Path Associated,e,i,0.004112
2000,4013,CA3 Pyramidal,CA1 Radial Trilaminar,e,i,0.002603
2000,4015,CA3 Pyramidal,CA1 Schaffer Collateral Associated,e,i,0.004721
2000,4023,CA3 Pyramidal,CA1 Back Projection,e,i,0.035220051
2000,4028,CA3 Pyramidal,CA1 Radiatum,e,i,0.003887
2000,4033,CA3 Pyramidal,CA1 SO SO,e,i,0.065738291
2000,4035,CA3 Pyramidal,CA1 Trilaminar,e,i,0.080072476
2000,4036,CA3 Pyramidal,CA1 Axo Axonic,e,i,0.007143
2000,4038,CA3 Pyramidal,CA1 Horizontal Axo Axonic,e,i,0.017436683
2000,4039,CA3 Pyramidal,CA1 Horizontal Basket,e,i,0.046694459
2000,4054,CA3 Pyramidal,CA1 Radiatum Giant,e,e,0.005662
2000,4055,CA3 Pyramidal,CA1 Oriens Alveus,e,i,0.005973
2000,4061,CA3 Pyramidal,CA1 R Receiving Apical Targeting,e,i,0.009607
2000,4066,CA3 Pyramidal,CA1 OR LM,e,i,0.02017
2000,4069,CA3 Pyramidal,CA1 O LM,e,i,0.059784179
2000,4076,CA3 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,0.02368
2000,4078,CA3 Pyramidal,CA1 Basket,e,i,0.01309
2000,4079,CA3 Pyramidal,CA1 Basket CCK+,e,i,0.006596
2000,4080,CA3 Pyramidal,CA1 Bistratified,e,i,0.00478
2000,4081,CA3 Pyramidal,CA1 Ivy,e,i,0.002194
2000,4083,CA3 Pyramidal,CA1 Oriens Bistratified,e,i,0.017133618
2000,4087,CA3 Pyramidal,CA1 O LMR,e,i,0.038116824
2000,4089,CA3 Pyramidal,CA1 Recurrent O LM,e,i,0.089951603
2001,2000,CA3 Granule,CA3 Pyramidal,e,e,0.001049
2001,2004,CA3 Granule,CA3c Pyramidal,e,e,0.001393
2001,2005,CA3 Granule,CA3 LMR Targeting,e,i,0.0009187
2001,2013,CA3 Granule,CA3 Lucidum ORAX,e,i,0.001562
2001,2019,CA3 Granule,CA3 Spiny Lucidum,e,i,0.001996
2001,2028,CA3 Granule,CA3 Axo Axonic,e,i,0.001722
2001,2035,CA3 Granule,CA3 Mossy Fiber Associated ORDEN,e,i,0.001164
2001,2036,CA3 Granule,CA3 Mossy Fiber Associated,e,i,0.001138
2001,2043,CA3 Granule,CA3 Basket,e,i,0.001486
2001,2044,CA3 Granule,CA3 Basket CCK+,e,i,0.0007892
2004,1000,CA3c Pyramidal,DG Granule,e,e,0.010606545
2004,1001,CA3c Pyramidal,DG Semilunar Granule,e,e,0.009748977
2004,1002,CA3c Pyramidal,DG Mossy,e,e,0.004285629
2004,1004,CA3c Pyramidal,DG Total Molecular Layer,e,i,0.01146203
2004,1005,CA3c Pyramidal,DG MOLAX,e,i,0.018252085
2004,1009,CA3c Pyramidal,DG HICAP,e,i,0.015012311
2004,1010,CA3c Pyramidal,DG Axo Axonic,e,i,0.019466081
2004,1013,CA3c Pyramidal,DG HIPP,e,i,0.003009135
2004,1026,CA3c Pyramidal,DG HIPROM,e,i,0.019757026
2004,1027,CA3c Pyramidal,DG AIPRIM,e,i,0.014605893
2004,1035,CA3c Pyramidal,DG Basket,e,i,0.016464829
2004,1041,CA3c Pyramidal,DG Hilar Ectopic Granule,e,e,0.02278082
2004,2000,CA3c Pyramidal,CA3 Pyramidal,e,e,0.003453
2004,2001,CA3c Pyramidal,CA3 Granule,e,e,0.000492
2004,2004,CA3c Pyramidal,CA3c Pyramidal,e,e,0.003336
2004,2005,CA3c Pyramidal,CA3 LMR Targeting,e,i,0.0005283
2004,2009,CA3c Pyramidal,CA3 O LM,e,i,0.003405
2004,2013,CA3c Pyramidal,CA3 Lucidum ORAX,e,i,0.001754
2004,2020,CA3c Pyramidal,CA3 Trilaminar,e,i,0.005635
2004,2028,CA3c Pyramidal,CA3 Axo Axonic,e,i,0.003269
2004,2035,CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,0.002952
2004,2036,CA3c Pyramidal,CA3 Mossy Fiber Associated,e,i,0.001192
2004,2043,CA3c Pyramidal,CA3 Basket,e,i,0.0033
2004,2044,CA3c Pyramidal,CA3 Basket CCK+,e,i,0.001805
