triad_id,motif,rees_superpattern,rees_superpattern_name,node_a,node_b,node_c,node_ei_signature,edge_ei_signature,region_signature,region_count,within_region,nonself_edge_count,self_edge_count,edge_count,nonself_total_weight,nonself_total_abs_weight,self_total_weight,self_total_abs_weight,total_weight,total_abs_weight,mean_abs_weight,spectral_radius,max_real,edge_1_pre,edge_1_post,edge_1_pre_class,edge_1_post_class,edge_1_pre_region,edge_1_post_region,edge_1_weight,edge_1_abs_weight,edge_1_edge_type,edge_2_pre,edge_2_post,edge_2_pre_class,edge_2_post_class,edge_2_pre_region,edge_2_post_region,edge_2_weight,edge_2_abs_weight,edge_2_edge_type
T000043,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,CA3 Spiny Lucidum,0E-3I,I->I + I->I,CA1-CA3,2,False,2,0,2,-192.54028332046414,192.54028332046414,0,0,-192.54028332046414,192.54028332046414,96.27014166023207,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,CA3 Spiny Lucidum,i,i,CA1,CA3,-26.589422087255947,26.589422087255947,between_nodes
T000046,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG AIPRIM,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-464.97195592827677,464.97195592827677,0,0,-464.97195592827677,464.97195592827677,232.48597796413839,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG AIPRIM,i,i,CA1,DG,-299.0210946950686,299.0210946950686,between_nodes
T000047,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Axo Axonic,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-365.95615832086025,365.95615832086025,0,0,-365.95615832086025,365.95615832086025,182.97807916043013,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Axo Axonic,i,i,CA1,DG,-200.00529708765205,200.00529708765205,between_nodes
T000048,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Basket,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-242.92688339285903,242.92688339285903,0,0,-242.92688339285903,242.92688339285903,121.46344169642951,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Basket,i,i,CA1,DG,-76.97602215965082,76.97602215965082,between_nodes
T000050,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG HICAP,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-353.47555939449137,353.47555939449137,0,0,-353.47555939449137,353.47555939449137,176.73777969724568,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG HICAP,i,i,CA1,DG,-187.5246981612832,187.5246981612832,between_nodes
T000051,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG HIPP,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-185.9089870719633,185.9089870719633,0,0,-185.9089870719633,185.9089870719633,92.95449353598165,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG HIPP,i,i,CA1,DG,-19.95812583875511,19.95812583875511,between_nodes
T000052,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG HIPROM,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-224.7149726000077,224.7149726000077,0,0,-224.7149726000077,224.7149726000077,112.35748630000386,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG HIPROM,i,i,CA1,DG,-58.764111366799504,58.764111366799504,between_nodes
T000053,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Hilar Ectopic Granule,1E-2I,I->I + I->E,CA1-DG,2,False,2,0,2,-211.3677093312172,211.3677093312172,0,0,-211.3677093312172,211.3677093312172,105.6838546656086,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Hilar Ectopic Granule,i,e,CA1,DG,-45.41684809800903,45.41684809800903,between_nodes
T000054,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG MOLAX,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-277.29054177589387,277.29054177589387,0,0,-277.29054177589387,277.29054177589387,138.64527088794694,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG MOLAX,i,i,CA1,DG,-111.3396805426857,111.3396805426857,between_nodes
T000056,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Mossy,1E-2I,I->I + I->E,CA1-DG,2,False,2,0,2,-235.2800941558353,235.2800941558353,0,0,-235.2800941558353,235.2800941558353,117.64004707791764,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Mossy,i,e,CA1,DG,-69.3292329226271,69.3292329226271,between_nodes
