variant,rees_superpattern,motif,rees_superpattern_name,triad_count,total_abs_weight,median_abs_weight,mean_spectral_radius,max_spectral_radius,within_region_rate
self_free,C,021D,single input module,2811,97278329.43757007,2284.321692379604,0.0,0.0,0.0576307363927428
self_free,B,021C,three-node chain,1644,35268815.920488775,1367.5617171518484,0.0,0.0,0.04744525547445255
self_free,A,021U,simple regulation,1288,20775395.68286749,1459.351027583084,0.0,0.0,0.08618012422360248
with_self_connections,C,021D,single input module,2811,101716704.28197576,4326.268473849707,1244.6055104674128,18296.078460202098,0.0576307363927428
with_self_connections,B,021C,three-node chain,1644,38562244.66905507,3789.9100911420273,1692.8629702614303,18296.078460202098,0.04744525547445255
with_self_connections,A,021U,simple regulation,1288,22596433.644585803,3143.1297922465073,1121.8708241402737,18296.078460202098,0.08618012422360248
