variant,node_ei_signature,triad_count,total_abs_weight,median_abs_weight,mean_spectral_radius,max_spectral_radius,within_region_rate
self_free,1E-2I,2318,109058990.80142836,8344.472143567962,0.0,0.0,0.008628127696289905
self_free,0E-3I,1607,416741.7956849519,133.17029915441685,0.0,0.0,0.19788425637834475
self_free,2E-1I,1454,40647966.96249244,7021.689494098066,0.0,0.0,0.001375515818431912
self_free,3E-0I,364,3198841.4813205698,3851.1357231753864,0.0,0.0,0.03021978021978022
with_self_connections,1E-2I,2318,112728215.33284706,10133.06559620642,1305.7801209980457,3278.450765697168,0.008628127696289905
with_self_connections,0E-3I,1607,1475749.942367001,643.7296626468913,533.6731414686603,2739.6290265605458,0.19788425637834475
with_self_connections,2E-1I,1454,44195356.1878615,9596.919605626239,1961.2243236783884,18296.078460202098,0.001375515818431912
with_self_connections,3E-0I,364,4476061.132541067,6020.45460289389,2721.4044205614778,18296.078460202098,0.03021978021978022
