variant,category,ablated_unique_edges,observed_delta_spectral_radius,null_mean_delta,null_p05_delta,null_p95_delta,empirical_p_more_stabilizing,empirical_p_more_destabilizing,rees_superpattern_name
self_free,A,557,-181.5277591009508,-4208.463535481114,-7492.560763997373,-528.0286219030866,1.0,0.047619047619047616,simple regulation
self_free,B,515,-172.5737591858524,-4398.170850195505,-7415.44752544833,-1445.2145486841357,1.0,0.047619047619047616,three-node chain
self_free,C,556,-164.13528978651811,-4497.193978139201,-8215.03809221961,-33.466450396920415,0.9047619047619048,0.14285714285714285,single input module
with_self_connections,A,625,-12565.496451048546,-7986.785775686755,-16652.41728868882,-1261.4409154823438,0.2857142857142857,0.7619047619047619,simple regulation
with_self_connections,B,584,-12467.145374512096,-6860.926393538039,-16707.446779001162,-133.0055519988166,0.2857142857142857,0.7619047619047619,three-node chain
with_self_connections,C,623,-12449.482514581276,-8090.562767666775,-17523.327811172563,-522.9271912423569,0.3333333333333333,0.7142857142857143,single input module
