removed_block,block_meaning,dominant_real_before,dominant_real_after,delta_dominant_real,spectral_radius_before,spectral_radius_after,delta_spectral_radius,first_order_delta_real,first_order_delta_imag
EE,E source -> E receiver,0.8500000000000011,0.06318070310719973,-0.7868192968928014,0.8500000000000011,0.31195639538841846,-0.5380436046115826,-0.9180124437570404,-0.0
II,I source -> I receiver,0.8500000000000011,0.8436472161745754,-0.006352783825425701,0.8500000000000011,0.8436472161745754,-0.006352783825425701,-0.005313377170938514,-0.0
IE,I source -> E receiver,0.8500000000000011,0.8856390292873755,0.03563902928737439,0.8500000000000011,0.8856390292873755,0.03563902928737439,0.03666291046398946,-0.0
EI,E source -> I receiver,0.8500000000000011,0.8856390292873806,0.0356390292873795,0.8500000000000011,0.8856390292873806,0.0356390292873795,0.0366629104639895,-0.0
