method,target,scale,spectral_radius,spectral_abscissa,dominant_eigenvalue,dominant_real,dominant_imag,variant
spectral_radius,1,3.814882066305892e-05,0.9999999999999999,0.9999999999999999,(0.9999999999999999+0j),0.9999999999999999,0.0,with_self
spectral_radius,1,6.739513650326118e-05,0.9999999999999994,0.9999999999999994,(0.9999999999999994+0j),0.9999999999999994,0.0,no_self
