receiver_group,sender_group,n_receiver,n_sender,mean_weight,variance,density_nonzero,positive_fraction,negative_fraction
E,E,32,32,0.030906110474926175,0.02516336562794144,0.373046875,0.373046875,0.0
E,I,32,53,-0.00025082340908828723,4.599103014370858e-06,0.1008254716981132,0.0,0.1008254716981132
I,E,53,32,0.2546640579186202,3.8111557853604707,0.20754716981132076,0.20754716981132076,0.0
I,I,53,53,-0.0016018830802028978,6.122264018643796e-05,0.26201495194019225,0.0,0.26201495194019225
