,CA1 Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Horizontal Axo Axonic,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 O LMR,CA1 OR LM,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Pyramidal,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radial Trilaminar,CA1 Radiatum,CA1 Radiatum Giant,CA1 Recurrent O LM,CA1 SO SO,CA1 Schaffer Collateral Associated,CA1 Trilaminar,CA2 Basket,CA2 Bistratified,CA2 Pyramidal,CA2 SP SR,CA2 Wide Arbor Basket,CA3 Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 Granule,CA3 Horizontal Axo Axonic,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Pyramidal,CA3 Spiny Lucidum,CA3 Trilaminar,CA3c Pyramidal,DG AIPRIM,DG Axo Axonic,DG Basket,DG Granule,DG HICAP,DG HIPP,DG HIPROM,DG Hilar Ectopic Granule,DG MOLAX,DG MOPP,DG Mossy,DG Neurogliaform,DG Semilunar Granule,DG Total Molecular Layer,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,EC LII III Pyramidal Tripolar,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,LEC LVI Multipolar Pyramidal,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,SUB CA1 Projecting Pyramidal
MEC LII Stellate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9207038573654043,0.1865276820746757,0.12165834602665081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011753381075923055,0.0,0.0,0.010245895710126896,0.04551477503107892,-0.00408795941120305,-0.008859552777377176,0.0,0.03435683287771413,0.005150567043270878,0.0,0.0
MEC LIII Bipolar Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1710925488133417,0.07835447356940907,0.051968351170157016,0.001153836923717546,0.015981185214298876,0.004215104376426164,0.019023828723149803,0.0,0.0,0.0,0.0,0.0,0.018417295126728774,0.0021950447752835003,0.08595933959543194,0.006737672568295427,0.019974925312252156,-0.015335705705200429,-0.0031229697048031973,0.005686945858278975,0.014803540286004347,0.007202049796079052,0.0,0.0
MEC LIII Complex Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293464924574882,0.11555786685559398,0.09491983728594544,0.0036387876871992212,0.024698783225498313,0.006325540990616593,0.040270037205430015,0.05445806433584811,0.0,0.0,0.0,0.0,0.04901813265322461,0.017374494856745224,0.12194810842437338,0.032853437008066734,0.05545762998553719,-0.014714947928216569,-0.007124305976055917,0.017443177432494086,0.05496441895726516,0.018920375060595993,0.0,0.0
MEC LIII Superficial Multipolar Interneuron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.570332158163978,1.6789451712394632,1.3333665420906033,0.018939287012678704,0.26117235686654633,0.0678144693639665,0.24281499478201926,0.0,0.0,0.0,0.0,0.0,0.25812847452751675,0.03239167762577296,1.529039636111346,0.119294259455794,0.40066461008050575,-0.1789938833343113,-0.09741535519970738,0.07741867050628506,0.3122839951642132,0.11275953985974167,0.0,0.0
MEC LIII Superficial Trilayered Interneuron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0639247463725199,0.10851430516823204,0.09408716207640491,0.0004110059106643073,0.005705107630470266,0.001652848594587517,0.010651740793484384,0.0,0.0,0.0,0.0,0.0,0.011585037943458882,0.001108045924093157,0.1081106920660401,0.0074681378152285,0.024767587005886053,-0.00588975251892326,-0.003562161234070317,0.0028678077267937662,0.019187055490267266,0.0041587109862289435,0.0,0.0
MEC LV Multipolar Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14691827335761307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011077395425053728,0.0,0.0,0.013622977911609093,0.0447974735924218,0.0064482701926685555,0.0,0.0,0.0,0.02864001257797489,0.002449004183044407,0.04305196470677813,0.003362437685689358,0.006098619852662745,0.0,0.0,0.007697935340903999,0.025270840870743758,0.00833594253113593,0.0,0.0
MEC LV Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13063532197337063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08891375798449158,0.026280921304659283,0.017945415726296356,0.0004867827611350696,0.0,0.0,0.00862246357848438,0.018276233776108358,0.006576707839170745,0.0,0.0,0.0,0.020936338555490756,0.0,0.05764522489066172,0.0008730126788245941,0.005251778387396291,-0.0004283374316491092,-0.0016681629918873897,0.004414144769986893,0.021563419740419944,0.005282764246579918,0.0,0.0
MEC LV Superficial Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050213837720751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04722549891954499,0.01484030293348389,0.016719589601864145,0.0006699991530153023,0.0018054302788419743,0.000488255895166263,0.014649572065087154,0.025218951683008143,0.0027269112688064843,0.0,0.0,0.0,0.022499681349095888,0.002809093506032292,0.04322000570535034,0.0055842345899388465,0.006154914375620835,-0.0024461062266761544,-0.0011610759863797686,0.005281613208721955,0.01729210397529939,0.003972951233488532,0.0,0.0
MEC LV VI Pyramidal Polymorphic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174752019194188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018273619442526823,0.0,0.0,0.03539852290795253,0.09850114695956652,0.024169480628875535,0.0,0.0,0.0,0.04974649656222684,0.0,0.1201128838041934,0.0,0.0,0.0,0.0,0.011828022266575006,0.04035571875641879,0.003776284545062038,0.05096911663196259,0.0
SUB CA1 Projecting Pyramidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07220663505536322,0.0,0.1647390387052082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006863683346312569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042705324302131364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023366082744930114,0.0,0.0,0.0,0.026221639705615907,0.01665206603130229,0.0011048478699165112,0.014870202913935747,0.0,0.0,0.04198792209333656,0.0,0.0,0.0,0.0,0.0,0.0,0.0044431158125961545,0.0,0.0,0.0,0.0,0.0,0.0022401687965579024,0.0,0.0,0.03663213213886338
